focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
balanced,50,10,Simulated Annealing,0,1.8111,12596.5674,23680.5933,0.0000,0.0000,10,True,5.8846
balanced,50,10,Simulated Annealing,1,1.8127,12608.3966,23701.1277,0.0000,0.0000,10,True,5.8403
balanced,50,10,Simulated Annealing,2,1.8101,12571.9535,23710.3247,0.0000,0.0000,10,True,5.9482
balanced,50,10,Simulated Annealing,3,1.8151,12648.8631,23676.6497,0.0000,0.0000,10,True,5.7516
balanced,50,10,Simulated Annealing,4,1.8116,12550.2095,23804.2756,0.0000,0.0000,10,True,9.2155
balanced,50,10,Simulated Annealing,5,1.8107,12573.5403,23722.1582,0.0000,0.0000,10,True,11.5732
balanced,50,10,Simulated Annealing,6,1.8109,12577.2449,23721.6608,0.0000,0.0000,10,True,10.3515
balanced,50,10,Simulated Annealing,7,1.8124,12629.2111,23643.9505,0.0000,0.0000,10,True,9.5581
balanced,50,10,Simulated Annealing,8,1.8135,12559.6034,23838.7530,0.0000,0.0000,10,True,7.5615
balanced,50,10,Simulated Annealing,9,1.8096,12554.8546,23734.5465,0.0000,0.0000,10,True,8.0650
balanced,50,10,Simulated Annealing,10,1.8121,12567.6735,23778.5749,0.0000,0.0000,10,True,8.6961
balanced,50,10,Simulated Annealing,11,1.8115,12528.5763,23850.4947,0.0000,0.0000,10,True,8.3852
balanced,50,10,Simulated Annealing,12,1.8116,12581.4073,23732.5245,0.0000,0.0000,10,True,8.1866
balanced,50,10,Simulated Annealing,13,1.8125,12601.1330,23712.9069,0.0000,0.0000,10,True,10.6491
balanced,50,10,Simulated Annealing,14,1.8131,12552.4291,23841.6103,0.0000,0.0000,10,True,7.6327
balanced,50,10,Simulated Annealing,15,1.8128,12571.7858,23789.3716,0.0000,0.0000,10,True,12.4629
balanced,50,10,Simulated Annealing,16,1.8111,12534.9505,23825.5407,0.0000,0.0000,10,True,12.1332
balanced,50,10,Simulated Annealing,17,1.8092,12637.5411,23530.0500,0.0000,0.0000,10,True,11.4231
balanced,50,10,Simulated Annealing,18,1.8086,12565.9948,23678.0019,0.0000,0.0000,10,True,8.3475
balanced,50,10,Simulated Annealing,19,1.8111,12607.9466,23655.1037,0.0000,0.0000,10,True,7.3399
balanced,50,10,Genetic Algorithm,0,1.8180,12613.6113,23843.2912,0.0000,0.0000,10,True,6.9979
balanced,50,10,Genetic Algorithm,1,1.8215,12674.4672,23804.4362,0.0000,0.0000,10,True,6.6396
balanced,50,10,Genetic Algorithm,2,1.8197,12503.4400,24150.8660,0.0000,0.0000,10,True,6.9403
balanced,50,10,Genetic Algorithm,3,1.8170,12628.9253,23778.7716,0.0000,0.0000,10,True,6.6243
balanced,50,10,Genetic Algorithm,4,1.8189,12584.8587,23938.0762,0.0000,0.0000,10,True,6.4937
balanced,50,10,Genetic Algorithm,5,1.8167,12628.2128,23772.5241,0.0000,0.0000,10,True,6.5663
balanced,50,10,Genetic Algorithm,6,1.8132,12593.4920,23751.1017,0.0000,0.0000,10,True,6.2427
balanced,50,10,Genetic Algorithm,7,1.8149,12598.1022,23789.5229,0.0000,0.0000,10,True,6.8565
