algorithm,n_tasks,n_servers,avg_runtime_s,avg_cost,improvement_over_greedy_pct
Simulated Annealing,20,4,6.6438,1.8588,8.55
Simulated Annealing,50,10,7.9481,1.8920,6.38
Simulated Annealing,100,20,8.1923,0.6752,14.35
Simulated Annealing,200,40,12.4393,0.7331,0.00
Simulated Annealing,500,100,17.5179,0.6952,0.00
Genetic Algorithm,20,4,6.6726,1.8370,9.62
Genetic Algorithm,50,10,7.2469,1.8205,9.92
Genetic Algorithm,100,20,7.1093,0.6945,11.90
Genetic Algorithm,200,40,9.8520,0.6669,9.03
Genetic Algorithm,500,100,15.5814,0.6481,6.78
UMDA (EDA),20,4,5.3661,1.8447,9.24
UMDA (EDA),50,10,5.8566,1.8238,9.76
UMDA (EDA),100,20,6.6526,0.7398,6.16
UMDA (EDA),200,40,8.7270,0.7331,0.00
UMDA (EDA),500,100,19.3041,0.6952,0.00
