param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,1.8096221164128445,1.811093223928732,1.8124653433219176,0.0012875298150090593,5
initial_temperature,0.01,1.8085502375893636,1.8102698270638033,1.8128996863001188,0.0016688054876668815,5
initial_temperature,0.05,1.8109032168064616,1.812383319886286,1.8141647612182226,0.0012260980366049336,5
initial_temperature,0.1,1.8116396608178174,1.8134425486263264,1.8157740478449524,0.0015057179699729485,5
initial_temperature,0.5,1.8092799732584677,1.8109825335389427,1.8121648002028468,0.0012688651156185589,5
initial_temperature,1.0,1.8098551434642205,1.8131258706417823,1.8166976336767484,0.0028495818617151505,5
cooling_rate,0.99,1.8101219158659987,1.8131664921017798,1.8173314546213066,0.002937842452057345,5
cooling_rate,0.992,1.8126426729376466,1.8145233254311606,1.8191197604925113,0.002619200795721187,5
cooling_rate,0.995,1.8102867652314982,1.8125035616923004,1.8142633854210755,0.0016478464556670164,5
cooling_rate,0.997,1.8102955781006869,1.8114971010422978,1.813579331635394,0.0012397295969253628,5
cooling_rate,0.999,1.8928606443855465,1.899942089096764,1.908214292802961,0.00594085941703712,5
