population_size,crossover_prob,mean_F,std_F,mean_time_s,feasible_pct
25,0.6,1.8208994166551242,0.00937609251070059,2.7089552666633003,100.0
25,0.8,1.8231220974364861,0.003554389707086738,2.485672766667752,100.0
25,0.95,1.819442350818711,0.007049314040022073,3.0139932000020053,100.0
50,0.6,1.8193018613268064,0.00116219086142494,2.4760813333268743,100.0
50,0.8,1.822123188110659,0.0008573323038267267,2.592465900005967,100.0
50,0.95,1.817058199281095,0.0020261927078067963,2.488637333338071,100.0
100,0.6,1.8193071866680013,0.006170860969262701,2.4286654999935613,100.0
100,0.8,1.8167037237029393,0.0037876504440142737,2.504051766663906,100.0
100,0.95,1.8255067655855683,0.008990672477964387,2.583011000000018,100.0
150,0.6,1.817678126467819,0.0008395620066676455,2.488696466660864,100.0
150,0.8,1.8205342381577554,0.0044914295822021544,2.5455243999992185,100.0
150,0.95,1.8204012115130623,0.00318508194402874,2.8632558666722616,100.0
200,0.6,1.8181675967589193,0.0009810780029575546,2.779335266663111,100.0
200,0.8,1.817659855069159,0.0033117991426005982,2.5425287666682075,100.0
200,0.95,1.8187007074909267,0.004089384253008754,2.521655866667667,100.0
