cooling_rate,iterations_per_temperature,mean_F,std_F,mean_time_s,feasible_pct
0.98,25,1.815936213911893,0.0035885409992627406,1.513722033336914,100.0
0.98,50,1.8131887449546868,0.0004254071060920853,2.627624400003697,100.0
0.98,100,1.8121728879994408,0.0003374983991479559,3.043241333332844,100.0
0.98,150,1.8133643091882607,0.0016265409446177376,4.2631286999967415,100.0
0.98,200,1.816145296688388,0.0017041562059034196,3.466437566661625,100.0
0.985,25,1.8142309320842416,0.0021927296648239234,2.0150654666649643,100.0
0.985,50,1.8140327722000644,0.0009476227845427586,5.200120566669891,100.0
0.985,100,1.81258455267851,0.0024041257045519897,3.811244233327064,100.0
0.985,150,1.815353294883783,0.0013182293445200921,2.946499166665793,100.0
0.985,200,1.833959157445468,0.0037942821234041484,7.088248766662825,100.0
0.99,25,1.8119786921071743,0.0019534728463501717,8.577985066668285,100.0
0.99,50,1.8127795073935888,0.0036440100836782796,8.323547299999822,100.0
0.99,100,1.8148440767886027,0.001286544543592825,5.596301699993394,100.0
0.99,150,1.843646179378374,0.0008681498146090562,8.301225499996994,100.0
0.99,200,1.8864936677260724,0.003958273779459408,4.847712733326868,100.0
0.995,25,1.8146981432560638,0.004589214668413774,3.282516500005537,100.0
0.995,50,1.8176696952518288,0.0010218391826323967,3.034025566666969,100.0
0.995,100,1.881094033575176,0.010941838826454922,2.9939572333338824,100.0
0.995,150,1.9086556725119694,0.006521550675271,2.9292600333331698,100.0
0.995,200,1.918528181857141,0.0035573008742575862,2.8684112666621027,100.0
0.999,25,1.9174285676138885,0.008874287566843313,2.9146035666684234,100.0
0.999,50,1.919919739846384,0.009060154522593048,3.047735333335974,100.0
0.999,100,1.9276733254368423,0.006301929198383601,2.821775966663457,100.0
0.999,150,1.9213650361222168,0.006558855405825635,2.799110700002833,100.0
0.999,200,1.925233292373335,0.004368649977356559,2.8458358666684944,100.0
