focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
eco,50,10,Simulated Annealing,0,1.1074,11263.4798,24078.7869,0.0000,0.0000,4,True,19.1763
eco,50,10,Simulated Annealing,1,1.1079,11278.7679,23990.3036,0.0000,0.0000,4,True,16.4022
eco,50,10,Simulated Annealing,2,1.1089,11296.1784,23951.4519,0.0000,0.0000,4,True,9.8571
eco,50,10,Simulated Annealing,3,1.1076,11270.8466,24032.8805,0.0000,0.0000,4,True,10.0912
eco,50,10,Simulated Annealing,4,1.1080,11290.4044,23896.7348,0.0000,0.0000,4,True,10.6004
eco,50,10,Simulated Annealing,5,1.1075,11271.7381,24009.2271,0.0000,0.0000,4,True,9.3877
eco,50,10,Simulated Annealing,6,1.1078,11279.6812,23967.0264,0.0000,0.0000,4,True,9.5917
eco,50,10,Simulated Annealing,7,1.1077,11273.5855,24019.8559,0.0000,0.0000,4,True,10.1569
eco,50,10,Simulated Annealing,8,1.1125,11330.0248,24054.8457,0.0000,0.0000,4,True,11.6061
eco,50,10,Simulated Annealing,9,1.1075,11263.5570,24083.4075,0.0000,0.0000,4,True,11.5109
eco,50,10,Genetic Algorithm,0,1.1146,11440.1825,23293.2475,0.0000,0.0000,5,True,9.6483
eco,50,10,Genetic Algorithm,1,1.1238,11497.5239,23816.7246,0.0000,0.0000,5,True,8.7271
eco,50,10,Genetic Algorithm,2,1.1114,11326.1595,23958.6476,0.0000,0.0000,4,True,8.3823
eco,50,10,Genetic Algorithm,3,1.1243,11509.2659,23769.9660,0.0000,0.0000,5,True,8.5957
eco,50,10,Genetic Algorithm,4,1.1162,11470.5758,23195.8597,0.0000,0.0000,5,True,7.4876
eco,50,10,Genetic Algorithm,5,1.1228,11493.5581,23748.3713,0.0000,0.0000,5,True,8.2210
eco,50,10,Genetic Algorithm,6,1.1213,11481.1755,23688.3188,0.0000,0.0000,5,True,7.9141
eco,50,10,Genetic Algorithm,7,1.1193,11450.1107,23736.6361,0.0000,0.0000,5,True,8.4857
eco,50,10,Genetic Algorithm,8,1.1268,11539.6401,23781.1655,0.0000,0.0000,5,True,7.9286
eco,50,10,Genetic Algorithm,9,1.1207,11474.2187,23675.7667,0.0000,0.0000,5,True,8.1416
eco,50,10,UMDA (EDA),0,1.1140,11442.2514,23207.9080,0.0000,0.0000,5,True,10.1184
eco,50,10,UMDA (EDA),1,1.1106,11310.7112,24006.3662,0.0000,0.0000,4,True,7.0805
eco,50,10,UMDA (EDA),2,1.1093,11288.5475,24067.8327,0.0000,0.0000,4,True,7.4210
eco,50,10,UMDA (EDA),3,1.1094,11298.3601,23989.8256,0.0000,0.0000,4,True,9.9636
eco,50,10,UMDA (EDA),4,1.1098,11297.2342,24038.4336,0.0000,0.0000,4,True,8.9650
eco,50,10,UMDA (EDA),5,1.1105,11315.6998,23957.8248,0.0000,0.0000,4,True,8.2336
eco,50,10,UMDA (EDA),6,1.1089,11291.2852,23991.5228,0.0000,0.0000,4,True,7.3995
eco,50,10,UMDA (EDA),7,1.1094,11292.5892,24041.2060,0.0000,0.0000,4,True,7.6588
eco,50,10,UMDA (EDA),8,1.1096,11304.2680,23953.4342,0.0000,0.0000,4,True,7.0844
eco,50,10,UMDA (EDA),9,1.1096,11311.1480,23896.8564,0.0000,0.0000,4,True,7.1274
eco,50,10,Branch & Bound,0,1.1371,11644.5575,24007.9912,0.0000,0.0000,4,True,60.6586
eco,50,10,Greedy BFD (baseline),0,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0006
eco,50,10,Greedy BFD (baseline),1,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0005
eco,50,10,Greedy BFD (baseline),2,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0005
eco,50,10,Greedy BFD (baseline),3,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0005
eco,50,10,Greedy BFD (baseline),4,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0005
eco,50,10,Greedy BFD (baseline),5,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0005
