algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,7.5261,1.0157,8.81,100.0
Simulated Annealing,15,33.7,9.4265,1.0340,8.85,100.0
Simulated Annealing,10,52.9,12.4124,1.1045,4.32,100.0
Simulated Annealing,8,63.0,8.3578,1.1173,4.32,100.0
Simulated Annealing,6,80.6,12.4377,0.6716,4.13,100.0
Genetic Algorithm,20,26.3,6.7785,1.0499,5.75,100.0
Genetic Algorithm,15,33.7,10.3179,1.0684,5.81,100.0
Genetic Algorithm,10,52.9,8.2642,1.1091,3.92,100.0
Genetic Algorithm,8,63.0,11.1249,1.1189,4.19,100.0
Genetic Algorithm,6,80.6,11.1647,0.6730,3.93,100.0
UMDA (EDA),20,26.3,6.2107,1.0232,8.14,100.0
UMDA (EDA),15,33.7,14.9465,1.0369,8.59,100.0
UMDA (EDA),10,52.9,6.8428,1.1089,3.94,100.0
UMDA (EDA),8,63.0,9.7139,1.1211,4.00,100.0
UMDA (EDA),6,80.6,4.7777,0.6817,2.68,100.0
