param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,1.1074967051802738,1.10996523824113,1.1178402293847185,0.004437603225372608,5
initial_temperature,0.01,1.1076241840126637,1.1077824145059854,1.1079797313745503,0.00015279962128329788,5
initial_temperature,0.05,1.10749571491441,1.1083874272418024,1.1115357105541253,0.0017610735083302526,5
initial_temperature,0.1,1.1077764535303205,1.1087957987850852,1.111424548352272,0.0015061382339082445,5
initial_temperature,0.5,1.1074499717430883,1.1405358148317042,1.1556694660735638,0.018919646659892382,5
initial_temperature,1.0,1.1458479200093088,1.1501797136977994,1.1556694660735638,0.005028483351595159,5
cooling_rate,0.99,1.1074499717430883,1.1086686170330913,1.1114040341259959,0.0016677309841809066,5
cooling_rate,0.992,1.1074499717430883,1.1084852440738597,1.109414593867271,0.0008264590765617682,5
cooling_rate,0.995,1.1076644993867537,1.1081545510337207,1.1094039042959607,0.000725050876223295,5
cooling_rate,0.997,1.1076326138390842,1.1139773500986871,1.1354027959910185,0.012021493844308,5
cooling_rate,0.999,1.1388198226369013,1.1456711570428628,1.151825278161282,0.0047545922151092344,5
