focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
performance,50,10,Simulated Annealing,0,0.9567,13224.2573,26693.6084,0.0000,0.0000,10,True,6.1528
performance,50,10,Simulated Annealing,1,0.9563,13117.7118,26740.0192,0.0000,0.0000,10,True,6.3067
performance,50,10,Simulated Annealing,2,0.9598,13279.6870,26774.2211,0.0000,0.0000,10,True,6.7473
performance,50,10,Simulated Annealing,3,0.9610,13464.8302,26710.6397,0.0000,0.0000,10,True,6.0128
performance,50,10,Simulated Annealing,4,0.9543,13099.5762,26680.8223,0.0000,0.0000,10,True,6.1789
performance,50,10,Simulated Annealing,5,0.9570,13240.3437,26697.6616,0.0000,0.0000,10,True,6.2172
performance,50,10,Simulated Annealing,6,0.9608,13400.9807,26742.8952,0.0000,0.0000,10,True,5.9282
performance,50,10,Simulated Annealing,7,0.9540,13068.0752,26687.9026,0.0000,0.0000,10,True,5.9480
performance,50,10,Simulated Annealing,8,0.9547,13053.2497,26719.9104,0.0000,0.0000,10,True,5.9033
performance,50,10,Simulated Annealing,9,0.9546,13101.1490,26689.0413,0.0000,0.0000,10,True,5.8698
performance,50,10,Simulated Annealing,10,0.9561,13114.5083,26735.5903,0.0000,0.0000,10,True,5.8933
performance,50,10,Simulated Annealing,11,0.9556,13146.4214,26701.4871,0.0000,0.0000,10,True,5.9969
performance,50,10,Simulated Annealing,12,0.9580,13194.6646,26758.0736,0.0000,0.0000,10,True,6.1823
performance,50,10,Simulated Annealing,13,0.9563,13123.4993,26738.7829,0.0000,0.0000,10,True,5.9689
performance,50,10,Simulated Annealing,14,0.9547,13050.7796,26723.5966,0.0000,0.0000,10,True,5.9569
performance,50,10,Simulated Annealing,15,0.9544,12983.6866,26751.5278,0.0000,0.0000,10,True,6.0250
performance,50,10,Simulated Annealing,16,0.9555,13089.1189,26730.1649,0.0000,0.0000,10,True,5.9771
performance,50,10,Simulated Annealing,17,0.9574,13159.7355,26755.7844,0.0000,0.0000,10,True,9.0312
performance,50,10,Simulated Annealing,18,0.9575,13258.9623,26703.8749,0.0000,0.0000,10,True,7.6876
performance,50,10,Simulated Annealing,19,0.9576,13206.3721,26738.0871,0.0000,0.0000,10,True,7.7748
performance,50,10,Genetic Algorithm,0,0.9619,13467.1632,26743.5412,0.0000,0.0000,10,True,7.3705
performance,50,10,Genetic Algorithm,1,0.9599,13274.9566,26781.4019,0.0000,0.0000,10,True,6.2638
performance,50,10,Genetic Algorithm,2,0.9602,13232.6888,26815.2526,0.0000,0.0000,10,True,5.9933
performance,50,10,Genetic Algorithm,3,0.9610,13370.9022,26764.8766,0.0000,0.0000,10,True,6.1800
performance,50,10,Genetic Algorithm,4,0.9656,13746.1578,26716.6597,0.0000,0.0000,10,True,6.1430
performance,50,10,Genetic Algorithm,5,0.9638,13477.2523,26804.7495,0.0000,0.0000,10,True,6.3895
performance,50,10,Genetic Algorithm,6,0.9572,13204.4622,26726.0571,0.0000,0.0000,10,True,6.3543
performance,50,10,Genetic Algorithm,7,0.9636,13335.2086,26877.3913,0.0000,0.0000,10,True,6.1423
performance,50,10,Genetic Algorithm,8,0.9616,13420.7108,26757.8920,0.0000,0.0000,10,True,5.9936
performance,50,10,Genetic Algorithm,9,0.9603,13324.9856,26766.8854,0.0000,0.0000,10,True,5.9617
performance,50,10,Genetic Algorithm,10,0.9635,13513.8516,26771.9174,0.0000,0.0000,10,True,6.0964
performance,50,10,Genetic Algorithm,11,0.9583,13137.8700,26802.6077,0.0000,0.0000,10,True,6.6350
performance,50,10,Genetic Algorithm,12,0.9626,13405.5402,26802.3048,0.0000,0.0000,10,True,6.9633
performance,50,10,Genetic Algorithm,13,0.9652,13578.7993,26796.1006,0.0000,0.0000,10,True,6.1588
performance,50,10,Genetic Algorithm,14,0.9654,13354.3626,26932.8782,0.0000,0.0000,10,True,6.0521
performance,50,10,Genetic Algorithm,15,0.9631,13343.0094,26856.0726,0.0000,0.0000,10,True,9.1278
performance,50,10,Genetic Algorithm,16,0.9602,13353.3009,26747.5907,0.0000,0.0000,10,True,6.2183
performance,50,10,Genetic Algorithm,17,0.9637,13373.8807,26861.6178,0.0000,0.0000,10,True,5.4771
performance,50,10,Genetic Algorithm,18,0.9601,13162.1813,26853.7141,0.0000,0.0000,10,True,5.2960
performance,50,10,Genetic Algorithm,19,0.9601,13277.5097,26786.9788,0.0000,0.0000,10,True,5.6313
performance,50,10,UMDA (EDA),0,0.9661,13366.3558,26949.5550,0.0000,0.0000,10,True,4.9854
performance,50,10,UMDA (EDA),1,0.9654,13459.1847,26871.2234,0.0000,0.0000,10,True,4.8120
performance,50,10,UMDA (EDA),2,0.9614,13109.4661,26927.2157,0.0000,0.0000,10,True,4.7765
performance,50,10,UMDA (EDA),3,0.9638,13311.6009,26900.5541,0.0000,0.0000,10,True,4.7277
performance,50,10,UMDA (EDA),4,0.9686,13322.5093,27065.9548,0.0000,0.0000,10,True,4.7310
performance,50,10,UMDA (EDA),5,0.9709,13438.4697,27082.9507,0.0000,0.0000,10,True,4.7609
performance,50,10,UMDA (EDA),6,0.9619,13236.1936,26872.9191,0.0000,0.0000,10,True,5.0143
performance,50,10,UMDA (EDA),7,0.9590,13157.9584,26814.9589,0.0000,0.0000,10,True,5.3012
performance,50,10,UMDA (EDA),8,0.9633,13503.1629,26774.2079,0.0000,0.0000,10,True,4.8615
performance,50,10,UMDA (EDA),9,0.9609,13294.9338,26806.3337,0.0000,0.0000,10,True,4.7287
performance,50,10,UMDA (EDA),10,0.9650,13336.8232,26927.0295,0.0000,0.0000,10,True,4.7214
performance,50,10,UMDA (EDA),11,0.9654,13586.4931,26801.6687,0.0000,0.0000,10,True,4.7240
performance,50,10,UMDA (EDA),12,0.9697,13466.6401,27023.5010,0.0000,0.0000,10,True,5.1091
performance,50,10,UMDA (EDA),13,0.9656,13268.3549,26988.5718,0.0000,0.0000,10,True,4.7814
performance,50,10,UMDA (EDA),14,0.9703,13730.8302,26891.7791,0.0000,0.0000,10,True,4.7640
performance,50,10,UMDA (EDA),15,0.9644,13268.4377,26944.9395,0.0000,0.0000,10,True,4.7324
performance,50,10,UMDA (EDA),16,0.9586,13269.8391,26737.1491,0.0000,0.0000,10,True,4.7575
performance,50,10,UMDA (EDA),17,0.9628,13244.6368,26901.1366,0.0000,0.0000,10,True,4.7435
performance,50,10,UMDA (EDA),18,0.9585,13185.1113,26782.2380,0.0000,0.0000,10,True,4.8748
performance,50,10,UMDA (EDA),19,0.9668,13586.4734,26849.8484,0.0000,0.0000,10,True,4.7762
performance,50,10,Branch & Bound,0,1.2268,12212.8257,36932.1401,0.0000,0.0000,6,True,60.8546
performance,50,10,Greedy BFD (baseline),0,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0004
performance,50,10,Greedy BFD (baseline),1,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),2,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),3,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),4,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),5,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),6,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),7,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),8,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),9,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),10,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
performance,50,10,Greedy BFD (baseline),11,1.2608,11921.2051,38312.7960,0.0000,0.0000,5,True,0.0003
