algorithm,n_tasks,n_servers,avg_runtime_s,avg_cost,improvement_over_greedy_pct
Simulated Annealing,20,4,6.1085,0.9804,23.74
Simulated Annealing,50,10,9.2712,0.9774,24.29
Simulated Annealing,100,20,5.5299,0.1743,13.53
Simulated Annealing,200,40,6.0357,0.1471,13.05
Simulated Annealing,500,100,10.1901,0.1294,12.46
Genetic Algorithm,20,4,7.3303,0.9841,23.46
Genetic Algorithm,50,10,7.3505,0.9822,23.91
Genetic Algorithm,100,20,11.9940,0.1757,12.82
Genetic Algorithm,200,40,14.5737,0.1516,10.38
Genetic Algorithm,500,100,24.1147,0.1392,5.83
UMDA (EDA),20,4,5.3998,0.9990,22.30
UMDA (EDA),50,10,8.9495,0.9858,23.63
UMDA (EDA),100,20,10.0377,0.1859,7.78
UMDA (EDA),200,40,13.8294,0.1674,1.07
UMDA (EDA),500,100,29.3410,0.1478,0.00
