algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,7.2123,0.8564,36.19,100.0
Simulated Annealing,15,33.7,7.1480,0.8820,33.37,100.0
Simulated Annealing,10,52.9,751.7790,0.9631,24.19,100.0
Simulated Annealing,8,63.0,24.8175,0.9870,20.18,100.0
Simulated Annealing,6,80.6,29.4024,0.2420,6.69,100.0
Genetic Algorithm,20,26.3,6.2112,0.8626,35.73,100.0
Genetic Algorithm,15,33.7,6.2216,0.8867,33.02,100.0
Genetic Algorithm,10,52.9,27.8070,0.9652,24.02,100.0
Genetic Algorithm,8,63.0,22.2347,0.9945,19.57,100.0
Genetic Algorithm,6,80.6,26.5266,0.2456,5.31,100.0
UMDA (EDA),20,26.3,5.6372,0.8658,35.50,100.0
UMDA (EDA),15,33.7,5.8404,0.8879,32.93,100.0
UMDA (EDA),10,52.9,13.5287,0.9663,23.94,100.0
UMDA (EDA),8,63.0,23.6818,1.0016,19.00,100.0
UMDA (EDA),6,80.6,23.2617,0.2470,4.76,100.0
