population_size,crossover_prob,mean_F,std_F,mean_time_s,feasible_pct
25,0.6,0.9667991937655604,0.00390743313653682,2.481218266664655,100.0
25,0.8,0.968114719469001,0.003408604132816452,2.5763097333353167,100.0
25,0.95,0.966469472325329,0.004030954766585383,2.5662556000073287,100.0
50,0.6,0.9673791245932767,0.001401861274866871,2.4779046999998777,100.0
50,0.8,0.96426634766613,0.0016302701228397888,2.51867533334007,100.0
50,0.95,0.9660578632488976,0.003725510423924088,2.5040223333392837,100.0
100,0.6,0.9672719305334865,0.0013730425184080351,2.8118375999911223,100.0
100,0.8,0.9641217695809732,0.0019967714736729716,2.5159362666648426,100.0
100,0.95,0.9637297604977298,0.003947637704492766,2.5476365666642473,100.0
150,0.6,0.9646394447534752,0.001750105991120689,3.670246200005446,100.0
150,0.8,0.9643782267552194,0.0014714696507929536,7.286163766669536,100.0
150,0.95,0.9655543491361536,0.0022321609086619976,7.38485159999982,100.0
200,0.6,0.9635758140514025,0.0024426735903034734,7.134883466671454,100.0
200,0.8,0.966498590437108,0.003970091082210626,4.017833666667381,100.0
200,0.95,0.9599785622060903,0.003111721981198664,2.4886031666683266,100.0
