focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
balanced,50,10,Simulated Annealing,0,1.8086,12565.9948,23678.0019,0.0000,0.0000,10,True,2.4922
balanced,50,10,Simulated Annealing,1,1.8141,12614.6209,23726.6642,0.0000,0.0000,10,True,2.4776
balanced,50,10,Simulated Annealing,2,1.8143,12551.3709,23880.5657,0.0000,0.0000,10,True,2.4664
balanced,50,10,Simulated Annealing,3,1.8113,12547.1115,23802.2700,0.0000,0.0000,10,True,2.4656
balanced,50,10,Simulated Annealing,4,1.8125,12570.3708,23782.8746,0.0000,0.0000,10,True,2.4610
balanced,50,10,Simulated Annealing,5,1.8152,12652.2142,23673.1332,0.0000,0.0000,10,True,2.4604
balanced,50,10,Simulated Annealing,6,1.8113,12527.5209,23848.5988,0.0000,0.0000,10,True,2.4904
balanced,50,10,Simulated Annealing,7,1.8101,12524.1458,23821.4191,0.0000,0.0000,10,True,2.4687
balanced,50,10,Simulated Annealing,8,1.8102,12519.6403,23834.4507,0.0000,0.0000,10,True,2.4539
balanced,50,10,Simulated Annealing,9,1.8237,12697.0455,23817.3950,0.0000,0.0000,10,True,2.4512
balanced,50,10,Simulated Annealing,10,1.8116,12551.9348,23800.6995,0.0000,0.0000,10,True,2.4473
balanced,50,10,Simulated Annealing,11,1.8154,12601.4091,23794.5811,0.0000,0.0000,10,True,2.4546
balanced,50,10,Simulated Annealing,12,1.8089,12551.2544,23721.6608,0.0000,0.0000,10,True,2.4475
balanced,50,10,Simulated Annealing,13,1.8147,12617.9592,23738.3528,0.0000,0.0000,10,True,2.4424
balanced,50,10,Simulated Annealing,14,1.8110,12581.5582,23712.7428,0.0000,0.0000,10,True,2.4430
balanced,50,10,Simulated Annealing,15,1.8164,12654.7327,23700.9925,0.0000,0.0000,10,True,2.4365
balanced,50,10,Simulated Annealing,16,1.8138,12604.0492,23742.1863,0.0000,0.0000,10,True,2.4628
balanced,50,10,Simulated Annealing,17,1.8125,12576.9882,23769.1888,0.0000,0.0000,10,True,2.4509
balanced,50,10,Simulated Annealing,18,1.8159,12567.2484,23891.3658,0.0000,0.0000,10,True,2.4804
balanced,50,10,Simulated Annealing,19,1.8137,12580.4552,23795.7139,0.0000,0.0000,10,True,2.4748
balanced,50,10,Genetic Algorithm,0,1.8180,12616.8587,23836.4145,0.0000,0.0000,10,True,2.3380
balanced,50,10,Genetic Algorithm,1,1.8133,12574.3217,23797.2073,0.0000,0.0000,10,True,2.3395
balanced,50,10,Genetic Algorithm,2,1.8149,12549.6776,23903.1469,0.0000,0.0000,10,True,2.3166
balanced,50,10,Genetic Algorithm,3,1.8201,12599.2252,23938.3048,0.0000,0.0000,10,True,2.3160
balanced,50,10,Genetic Algorithm,4,1.8145,12583.1618,23811.5680,0.0000,0.0000,10,True,2.3194
balanced,50,10,Genetic Algorithm,5,1.8151,12667.2972,23634.5288,0.0000,0.0000,10,True,2.3272
balanced,50,10,Genetic Algorithm,6,1.8173,12587.8575,23884.6078,0.0000,0.0000,10,True,2.3391
balanced,50,10,Genetic Algorithm,7,1.8128,12616.5194,23685.7408,0.0000,0.0000,10,True,2.3231
balanced,50,10,Genetic Algorithm,8,1.8132,12545.3034,23862.0460,0.0000,0.0000,10,True,2.3086
balanced,50,10,Genetic Algorithm,9,1.8160,12625.0926,23757.6175,0.0000,0.0000,10,True,2.3093
balanced,50,10,Genetic Algorithm,10,1.8139,12577.1155,23808.0415,0.0000,0.0000,10,True,2.3062
balanced,50,10,Genetic Algorithm,11,1.8173,12648.9823,23741.8582,0.0000,0.0000,10,True,2.3222
balanced,50,10,Genetic Algorithm,12,1.8176,12501.3124,24092.0575,0.0000,0.0000,10,True,2.3100
balanced,50,10,Genetic Algorithm,13,1.8130,12561.0832,23819.2350,0.0000,0.0000,10,True,2.3136
balanced,50,10,Genetic Algorithm,14,1.8154,12574.1985,23859.2087,0.0000,0.0000,10,True,2.3242
balanced,50,10,Genetic Algorithm,15,1.8178,12599.9454,23870.8386,0.0000,0.0000,10,True,2.3158
balanced,50,10,Genetic Algorithm,16,1.8150,12575.9419,23844.3132,0.0000,0.0000,10,True,2.3131
balanced,50,10,Genetic Algorithm,17,1.8132,12560.0434,23826.9734,0.0000,0.0000,10,True,2.3116
balanced,50,10,Genetic Algorithm,18,1.8156,12579.9619,23853.1367,0.0000,0.0000,10,True,2.3296
balanced,50,10,Genetic Algorithm,19,1.8163,12541.9099,23961.0104,0.0000,0.0000,10,True,2.3133
balanced,50,10,UMDA (EDA),0,1.8186,12555.3868,23996.9025,0.0000,0.0000,10,True,2.0195
