algorithm,n_tasks,n_servers,avg_runtime_s,avg_cost,improvement_over_greedy_pct
Simulated Annealing,20,4,2.1953,1.8232,10.30
Simulated Annealing,50,10,2.5335,1.8148,10.20
Simulated Annealing,100,20,3.0327,0.6732,14.61
Simulated Annealing,200,40,4.0966,0.6231,15.00
Simulated Annealing,500,100,7.1225,0.5989,13.86
Genetic Algorithm,20,4,2.0827,1.8265,10.14
Genetic Algorithm,50,10,2.3826,1.8185,10.02
Genetic Algorithm,100,20,2.8244,0.6868,12.88
Genetic Algorithm,200,40,3.6733,0.6600,9.96
Genetic Algorithm,500,100,6.6439,0.6584,5.30
UMDA (EDA),20,4,1.7864,1.8447,9.24
UMDA (EDA),50,10,2.0690,1.8238,9.76
UMDA (EDA),100,20,2.5631,0.7398,6.16
UMDA (EDA),200,40,3.6607,0.7331,0.00
UMDA (EDA),500,100,9.2850,0.6952,0.00
