algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,2.5604,1.7110,15.64,100.0
Simulated Annealing,15,33.7,2.5406,1.7267,15.06,100.0
Simulated Annealing,10,52.9,2.5070,1.8098,10.05,100.0
Simulated Annealing,8,63.0,2.4939,1.8232,8.80,100.0
Simulated Annealing,6,80.6,2.4954,0.7807,3.46,100.0
Genetic Algorithm,20,26.3,2.3126,1.7156,15.41,100.0
Genetic Algorithm,15,33.7,2.3360,1.7281,14.99,100.0
Genetic Algorithm,10,52.9,2.3207,1.8151,9.78,100.0
Genetic Algorithm,8,63.0,2.3241,1.8272,8.60,100.0
Genetic Algorithm,6,80.6,2.3082,0.7816,3.35,100.0
UMDA (EDA),20,26.3,2.1148,1.7158,15.40,100.0
UMDA (EDA),15,33.7,2.0933,1.7274,15.02,100.0
UMDA (EDA),10,52.9,2.0308,1.8138,9.85,100.0
UMDA (EDA),8,63.0,2.0168,1.8320,8.36,100.0
UMDA (EDA),6,80.6,2.0402,0.7852,2.90,100.0
