param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,1.8085831317521488,1.8102473427901666,1.8124653433219176,0.0012972602371300222,10
initial_temperature,0.01,1.808550237589364,1.8106710850831227,1.8135098220968868,0.0018011923046682091,10
initial_temperature,0.05,1.8097840775718037,1.813100257852116,1.8177869928351353,0.002652333449406794,10
initial_temperature,0.1,1.8110705455882603,1.8125769165970973,1.8157740478449524,0.0014358939828960787,10
initial_temperature,0.5,1.8092799732584677,1.8109261719857246,1.8122124428665614,0.0010681411999453226,10
initial_temperature,1.0,1.8098551434642207,1.8128720211652607,1.8166976336767484,0.002056025418921692,10
cooling_rate,0.99,1.808550237589364,1.8125729421342631,1.8154726734108815,0.0024039249361368273,10
cooling_rate,0.992,1.808835913223049,1.8122087652288543,1.8151207089553167,0.001897496354153133,10
cooling_rate,0.995,1.808835913223049,1.8119652611114494,1.8143812176215304,0.001689601176506513,10
cooling_rate,0.997,1.8099003225161305,1.8125155847814978,1.8144973613259543,0.0013706430937071997,10
cooling_rate,0.999,1.8762459606035908,1.8956256403191218,1.9075372238763544,0.009575242591581925,10
