focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
eco,50,10,Simulated Annealing,0,1.1088,11295.8410,23934.5992,0.0000,0.0000,4,True,2.4814
eco,50,10,Simulated Annealing,1,1.1076,11270.8466,24032.8805,0.0000,0.0000,4,True,2.4764
eco,50,10,Simulated Annealing,2,1.1076,11270.8466,24032.8805,0.0000,0.0000,4,True,2.4612
eco,50,10,Simulated Annealing,3,1.1091,11284.8522,24077.3222,0.0000,0.0000,4,True,2.4622
eco,50,10,Simulated Annealing,4,1.1090,11293.5125,23987.2961,0.0000,0.0000,4,True,2.4697
eco,50,10,Simulated Annealing,5,1.1101,11287.3513,24161.7124,0.0000,0.0000,4,True,2.4721
eco,50,10,Simulated Annealing,6,1.1079,11270.1803,24070.8808,0.0000,0.0000,4,True,2.4664
eco,50,10,Simulated Annealing,7,1.1079,11271.5103,24056.6796,0.0000,0.0000,4,True,2.4623
eco,50,10,Simulated Annealing,8,1.1075,11262.8044,24091.4947,0.0000,0.0000,4,True,2.4600
eco,50,10,Simulated Annealing,9,1.1079,11278.0533,24001.6471,0.0000,0.0000,4,True,2.4625
eco,50,10,Simulated Annealing,10,1.1076,11266.9630,24066.2671,0.0000,0.0000,4,True,2.4623
eco,50,10,Simulated Annealing,11,1.1076,11265.0816,24078.9789,0.0000,0.0000,4,True,2.5146
eco,50,10,Simulated Annealing,12,1.1097,11282.9812,24161.1650,0.0000,0.0000,4,True,2.4833
eco,50,10,Simulated Annealing,13,1.1085,11276.5540,24077.3767,0.0000,0.0000,4,True,2.4835
eco,50,10,Simulated Annealing,14,1.1076,11270.8466,24032.8805,0.0000,0.0000,4,True,2.4816
eco,50,10,Simulated Annealing,15,1.1103,11297.4155,24091.2566,0.0000,0.0000,4,True,2.4736
eco,50,10,Simulated Annealing,16,1.1083,11282.4303,23998.3683,0.0000,0.0000,4,True,2.4722
eco,50,10,Simulated Annealing,17,1.1076,11272.6240,24011.3857,0.0000,0.0000,4,True,2.5020
eco,50,10,Simulated Annealing,18,1.1077,11265.1856,24087.7618,0.0000,0.0000,4,True,2.4875
eco,50,10,Simulated Annealing,19,1.1086,11278.1506,24078.7377,0.0000,0.0000,4,True,2.4727
eco,50,10,Genetic Algorithm,0,1.1289,11519.7850,24201.5962,0.0000,0.0000,5,True,2.3230
eco,50,10,Genetic Algorithm,1,1.1290,11534.3296,24074.3050,0.0000,0.0000,5,True,2.3114
eco,50,10,Genetic Algorithm,2,1.1150,11486.6905,22912.9475,0.0000,0.0000,5,True,2.3061
eco,50,10,Genetic Algorithm,3,1.1089,11280.3786,24086.8904,0.0000,0.0000,4,True,2.3272
eco,50,10,Genetic Algorithm,4,1.1242,11504.0336,23805.0147,0.0000,0.0000,5,True,2.3129
eco,50,10,Genetic Algorithm,5,1.1225,11492.9978,23711.8988,0.0000,0.0000,5,True,2.3097
eco,50,10,Genetic Algorithm,6,1.1086,11289.5908,23976.0438,0.0000,0.0000,4,True,2.3080
eco,50,10,Genetic Algorithm,7,1.1347,11601.3718,24124.5482,0.0000,0.0000,5,True,2.3222
eco,50,10,Genetic Algorithm,8,1.1220,11479.5197,23773.6981,0.0000,0.0000,5,True,2.3220
eco,50,10,Genetic Algorithm,9,1.1093,11289.2598,24055.3920,0.0000,0.0000,4,True,2.3316
eco,50,10,Genetic Algorithm,10,1.1089,11288.5356,24020.0217,0.0000,0.0000,4,True,2.3245
eco,50,10,Genetic Algorithm,11,1.1093,11290.2536,24041.7133,0.0000,0.0000,4,True,2.3172
eco,50,10,Genetic Algorithm,12,1.1087,11279.0930,24076.5888,0.0000,0.0000,4,True,2.3152
eco,50,10,Genetic Algorithm,13,1.1089,11285.8539,24042.7835,0.0000,0.0000,4,True,2.3093
eco,50,10,Genetic Algorithm,14,1.1208,11467.0285,23755.6066,0.0000,0.0000,5,True,2.3084
eco,50,10,Genetic Algorithm,15,1.1092,11292.7816,24013.3013,0.0000,0.0000,4,True,2.3077
eco,50,10,Genetic Algorithm,16,1.1089,11288.9890,24010.4024,0.0000,0.0000,4,True,2.3218
eco,50,10,Genetic Algorithm,17,1.1214,11477.3832,23730.6757,0.0000,0.0000,5,True,2.3170
eco,50,10,Genetic Algorithm,18,1.1094,11293.2579,24028.0106,0.0000,0.0000,4,True,2.3153
eco,50,10,Genetic Algorithm,19,1.1219,11468.3360,23863.6124,0.0000,0.0000,5,True,2.3102
eco,50,10,UMDA (EDA),0,1.1140,11442.2514,23207.9080,0.0000,0.0000,5,True,2.0394
eco,50,10,UMDA (EDA),1,1.1106,11310.7112,24006.3662,0.0000,0.0000,4,True,2.0327
eco,50,10,UMDA (EDA),2,1.1093,11288.5475,24067.8327,0.0000,0.0000,4,True,2.0300
eco,50,10,UMDA (EDA),3,1.1094,11298.3601,23989.8256,0.0000,0.0000,4,True,2.0277
eco,50,10,UMDA (EDA),4,1.1098,11297.2342,24038.4336,0.0000,0.0000,4,True,2.0605
eco,50,10,UMDA (EDA),5,1.1105,11315.6998,23957.8248,0.0000,0.0000,4,True,2.0568
eco,50,10,UMDA (EDA),6,1.1089,11291.2852,23991.5228,0.0000,0.0000,4,True,2.0425
eco,50,10,UMDA (EDA),7,1.1094,11292.5892,24041.2060,0.0000,0.0000,4,True,2.0441
eco,50,10,UMDA (EDA),8,1.1096,11304.2680,23953.4342,0.0000,0.0000,4,True,2.0364
eco,50,10,UMDA (EDA),9,1.1096,11311.1480,23896.8564,0.0000,0.0000,4,True,2.0327
eco,50,10,UMDA (EDA),10,1.1093,11294.1148,24008.5866,0.0000,0.0000,4,True,2.0472
eco,50,10,UMDA (EDA),11,1.1110,11332.6214,23860.2895,0.0000,0.0000,4,True,2.0480
eco,50,10,UMDA (EDA),12,1.1091,11291.2806,24013.8569,0.0000,0.0000,4,True,2.0460
eco,50,10,UMDA (EDA),13,1.1095,11295.3057,24026.0161,0.0000,0.0000,4,True,2.0342
eco,50,10,UMDA (EDA),14,1.1089,11301.2366,23900.6764,0.0000,0.0000,4,True,2.0548
eco,50,10,UMDA (EDA),15,1.1087,11295.9389,23928.8860,0.0000,0.0000,4,True,2.0662
eco,50,10,UMDA (EDA),16,1.1096,11295.7121,24034.7791,0.0000,0.0000,4,True,2.0499
eco,50,10,UMDA (EDA),17,1.1085,11296.8785,23898.1445,0.0000,0.0000,4,True,2.0436
eco,50,10,UMDA (EDA),18,1.1119,11326.8339,24007.2924,0.0000,0.0000,4,True,2.0367
eco,50,10,UMDA (EDA),19,1.1105,11313.6553,23975.0215,0.0000,0.0000,4,True,2.0376
eco,50,10,Branch & Bound,0,1.1362,11632.7564,24006.6680,0.0000,0.0000,4,True,61.3146
eco,50,10,Greedy BFD (baseline),0,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),1,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),2,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),3,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),4,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),5,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),6,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),7,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),8,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),9,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),10,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),11,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),12,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),13,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),14,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),15,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),16,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),17,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0001
eco,50,10,Greedy BFD (baseline),18,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Greedy BFD (baseline),19,1.1557,11921.2051,23612.5320,0.0000,0.0000,5,True,0.0002
eco,50,10,Round-Robin (baseline),0,9.2911,15325.2319,20793.2931,1.0419,27500.6340,10,False,0.0000
eco,50,10,Random (baseline),0,8.6957,15288.2567,20865.9523,86.0183,8612.8759,10,False,0.0000
eco,50,10,Random (baseline),1,18.8024,14967.3305,21974.7511,81.3151,45091.7649,10,False,0.0000
eco,50,10,Random (baseline),2,27.8708,16163.9879,22930.0117,145.1852,63944.3302,10,False,0.0000
eco,50,10,Random (baseline),3,26.0032,15971.3184,23098.7000,249.9089,36724.0665,10,False,0.0000
eco,50,10,Random (baseline),4,10.5277,14372.9830,21831.3114,39.6424,24443.7189,10,False,0.0000
eco,50,10,Random (baseline),5,30.6785,15693.8158,23319.8462,180.8948,66862.0713,10,False,0.0000
eco,50,10,Random (baseline),6,5.9399,15139.3129,21379.2329,74.5370,1231.0612,10,False,0.0000
eco,50,10,Random (baseline),7,24.2263,15364.7663,22457.9606,187.8352,42948.6455,9,False,0.0000
eco,50,10,Random (baseline),8,32.7172,15343.6968,23052.6562,240.4037,62359.2207,10,False,0.0000
eco,50,10,Random (baseline),9,24.9421,16008.6132,21976.5322,190.4052,44789.1885,10,False,0.0000
eco,50,10,Random (baseline),10,17.1807,15508.2837,22316.5771,18.5242,51652.6643,10,False,0.0000
eco,50,10,Random (baseline),11,5.1901,14990.5112,21438.1735,34.7267,6510.6855,10,False,0.0000
eco,50,10,Random (baseline),12,15.5959,15726.5920,21679.4032,29.0377,43966.3738,10,False,0.0000
eco,50,10,Random (baseline),13,31.7349,15497.3869,23177.1851,254.7132,56032.9453,10,False,0.0000
eco,50,10,Random (baseline),14,6.8800,14779.6203,21531.3929,82.3827,3076.9573,10,False,0.0000
eco,50,10,Random (baseline),15,3.7128,15305.1998,22079.7130,7.0699,6684.3416,10,False,0.0000
eco,50,10,Random (baseline),16,3.2487,15215.4793,21107.0171,0.5115,6406.4621,10,False,0.0000
eco,50,10,Random (baseline),17,23.6777,15885.6322,22952.2100,185.3175,41359.3054,10,False,0.0000
eco,50,10,Random (baseline),18,5.7140,14778.5184,21640.0840,1.7508,14924.7697,10,False,0.0000
