algorithm,n_tasks,n_servers,avg_runtime_s,avg_cost,improvement_over_greedy_pct
Simulated Annealing,20,4,2.1806,1.1302,3.00
Simulated Annealing,50,10,2.5096,1.1013,4.02
Simulated Annealing,100,20,3.0093,0.6242,15.61
Simulated Annealing,200,40,4.0418,0.5949,15.96
Simulated Annealing,500,100,7.1851,0.5879,14.23
Genetic Algorithm,20,4,2.0726,1.1305,2.97
Genetic Algorithm,50,10,2.3720,1.1069,3.53
Genetic Algorithm,100,20,2.7738,0.6435,12.99
Genetic Algorithm,200,40,3.6169,0.6437,9.07
Genetic Algorithm,500,100,6.4351,0.6468,5.63
UMDA (EDA),20,4,1.7990,1.1330,2.76
UMDA (EDA),50,10,2.0572,1.1048,3.72
UMDA (EDA),100,20,2.5746,0.6949,6.04
UMDA (EDA),200,40,3.6649,0.7078,0.00
UMDA (EDA),500,100,9.1723,0.6854,0.00
