algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,2.5119,1.0184,8.58,100.0
Simulated Annealing,15,33.7,2.5167,1.0343,8.82,100.0
Simulated Annealing,10,52.9,2.4879,1.1056,4.22,100.0
Simulated Annealing,8,63.0,2.4897,1.1176,4.30,100.0
Simulated Annealing,6,80.6,2.4919,0.6718,4.10,100.0
Genetic Algorithm,20,26.3,2.3095,1.0478,5.93,100.0
Genetic Algorithm,15,33.7,2.3310,1.0572,6.80,100.0
Genetic Algorithm,10,52.9,2.3242,1.1105,3.80,100.0
Genetic Algorithm,8,63.0,2.3276,1.1193,4.15,100.0
Genetic Algorithm,6,80.6,2.3334,0.6730,3.94,100.0
UMDA (EDA),20,26.3,2.0986,1.0228,8.18,100.0
UMDA (EDA),15,33.7,2.0810,1.0367,8.61,100.0
UMDA (EDA),10,52.9,2.0314,1.1091,3.92,100.0
UMDA (EDA),8,63.0,2.0401,1.1202,4.08,100.0
UMDA (EDA),6,80.6,2.0445,0.6837,2.41,100.0
