param,value,best,average,worst,std_dev,feasible
initial_temperature,0.005,1.1074967051802738,1.111024993314338,1.1188341366450651,0.005120236705089785,10
initial_temperature,0.01,1.1074433281347205,1.107823915667579,1.109012534482518,0.00045085387742563587,10
initial_temperature,0.05,1.1074499717430883,1.1082684087911845,1.1115357105541253,0.0012549523531928976,10
initial_temperature,0.1,1.1076170273410593,1.1086889108858768,1.1114245483522724,0.0014038595073403615,10
initial_temperature,0.5,1.1074499717430883,1.1339136598874797,1.155669466073564,0.022066172932635315,10
initial_temperature,1.0,1.1458479200093088,1.152691514281746,1.155669466073564,0.004310684626570175,10
cooling_rate,0.99,1.1074433281347205,1.1084729252139014,1.1118017368551216,0.0014788264574639887,10
cooling_rate,0.992,1.107559742087972,1.1086444548376069,1.1120571419614933,0.001391751731477686,10
cooling_rate,0.995,1.1074499717430883,1.108612234894037,1.1110620398312534,0.0013960911850292375,10
cooling_rate,0.997,1.1074499717430883,1.110096066132391,1.1312344945916928,0.007432644955819743,10
cooling_rate,0.999,1.139892804783213,1.1439956474637867,1.1471439767345302,0.002437329765035311,10
