focus_mode,n_tasks,n_servers,algorithm,seed,best_cost,energy_W,latency_ms,cpu_violation,mem_violation,n_active_servers,feasible,runtime_s
performance,50,10,Simulated Annealing,0,0.9552,13155.8918,26680.9556,0.0000,0.0000,10,True,9.8097
performance,50,10,Simulated Annealing,1,0.9568,13212.6867,26704.6920,0.0000,0.0000,10,True,12.7031
performance,50,10,Simulated Annealing,2,0.9585,13207.1785,26769.2680,0.0000,0.0000,10,True,12.5590
performance,50,10,Simulated Annealing,3,0.9600,13192.9479,26831.3762,0.0000,0.0000,10,True,13.3650
performance,50,10,Simulated Annealing,4,0.9553,13140.0690,26692.1703,0.0000,0.0000,10,True,12.7092
performance,50,10,Simulated Annealing,5,0.9583,13316.6306,26701.2339,0.0000,0.0000,10,True,14.2430
performance,50,10,Simulated Annealing,6,0.9553,13078.4625,26728.4695,0.0000,0.0000,10,True,13.1182
performance,50,10,Simulated Annealing,7,0.9561,13158.9772,26710.1239,0.0000,0.0000,10,True,13.0266
performance,50,10,Simulated Annealing,8,0.9580,13286.2227,26705.2121,0.0000,0.0000,10,True,11.8305
performance,50,10,Simulated Annealing,9,0.9567,13172.3080,26724.7584,0.0000,0.0000,10,True,11.6139
performance,50,10,Simulated Annealing,10,0.9611,13411.1979,26746.6427,0.0000,0.0000,10,True,13.3331
performance,50,10,Simulated Annealing,11,0.9639,13511.3979,26789.5089,0.0000,0.0000,10,True,12.1452
performance,50,10,Simulated Annealing,12,0.9594,13415.2275,26681.5386,0.0000,0.0000,10,True,12.1159
performance,50,10,Simulated Annealing,13,0.9574,13306.7542,26672.1208,0.0000,0.0000,10,True,12.0792
performance,50,10,Simulated Annealing,14,0.9547,13029.7299,26735.6623,0.0000,0.0000,10,True,13.1735
performance,50,10,Simulated Annealing,15,0.9547,13098.5704,26693.8612,0.0000,0.0000,10,True,12.3665
performance,50,10,Simulated Annealing,16,0.9589,13366.3822,26693.2571,0.0000,0.0000,10,True,12.6365
performance,50,10,Simulated Annealing,17,0.9557,13107.9131,26726.3107,0.0000,0.0000,10,True,11.6774
performance,50,10,Simulated Annealing,18,0.9588,13279.0958,26738.7930,0.0000,0.0000,10,True,11.8815
performance,50,10,Simulated Annealing,19,0.9539,13057.8682,26688.5659,0.0000,0.0000,10,True,12.0558
performance,50,10,Genetic Algorithm,0,0.9575,13240.4472,26713.6663,0.0000,0.0000,10,True,11.1986
performance,50,10,Genetic Algorithm,1,0.9621,13233.9154,26881.5614,0.0000,0.0000,10,True,11.5160
