algorithm,n_tasks,n_servers,avg_runtime_s,avg_cost,improvement_over_greedy_pct
Simulated Annealing,20,4,2.1707,0.9808,23.71
Simulated Annealing,50,10,2.4931,0.9778,24.26
Simulated Annealing,100,20,3.0458,0.1742,13.60
Simulated Annealing,200,40,4.0937,0.1469,13.20
Simulated Annealing,500,100,7.2952,0.1286,13.05
Genetic Algorithm,20,4,2.0657,0.9842,23.45
Genetic Algorithm,50,10,2.3283,0.9808,24.03
Genetic Algorithm,100,20,2.7852,0.1756,12.87
Genetic Algorithm,200,40,3.6378,0.1510,10.79
Genetic Algorithm,500,100,6.5041,0.1392,5.85
UMDA (EDA),20,4,1.7879,0.9984,22.35
UMDA (EDA),50,10,2.0306,0.9857,23.64
UMDA (EDA),100,20,2.5427,0.1859,7.78
UMDA (EDA),200,40,3.7252,0.1672,1.21
UMDA (EDA),500,100,9.2034,0.1478,0.00
