algorithm,n_servers,cpu_util_pct,avg_runtime_s,avg_cost,improvement_over_greedy_pct,feasible_pct
Simulated Annealing,20,26.3,2.5579,0.8569,36.15,100.0
Simulated Annealing,15,33.7,2.5300,0.8819,33.38,100.0
Simulated Annealing,10,52.9,2.4788,0.9612,24.34,100.0
Simulated Annealing,8,63.0,2.4749,0.9888,20.04,100.0
Simulated Annealing,6,80.6,2.4820,0.2428,6.38,100.0
Genetic Algorithm,20,26.3,2.3192,0.8650,35.55,100.0
Genetic Algorithm,15,33.7,2.3116,0.8871,32.98,100.0
Genetic Algorithm,10,52.9,2.3044,0.9629,24.21,100.0
Genetic Algorithm,8,63.0,2.3161,0.9927,19.72,100.0
Genetic Algorithm,6,80.6,2.3468,0.2451,5.50,100.0
UMDA (EDA),20,26.3,2.0753,0.8665,35.44,100.0
UMDA (EDA),15,33.7,2.0402,0.8884,32.88,100.0
UMDA (EDA),10,52.9,2.0248,0.9678,23.82,100.0
UMDA (EDA),8,63.0,2.0014,1.0001,19.12,100.0
UMDA (EDA),6,80.6,2.0448,0.2470,4.77,100.0
