,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,EVS04330,EVS00826,EVS03163,EVS03730,EVS02174,EVS00552,EVS04625,EVS02443,EVS02556,EVS00810,EVS02039,EVS02909,EVS03645,EVS04640,EVS03776,EVS02379,EVS01209,EVS02587,EVS04457,EVS02733
DEPOT,0.0,0.05545358488180948,0.12240943169321818,0.16203416464521353,0.1091137654291972,0.060675613060235244,0.08065610837017492,0.12567203721264164,0.03549225330888277,0.02524552056882195,0.016973931441864584,0.08059347644353054,0.050588848024356294,0.09731427789543033,0.07103930193422053,0.08283271224111266,0.08035722941192548,0.0033421895204180773,0.11705095248054433,0.032152861556826125,0.06356748784736979,0.08660745169021203,0.11954832931296513,0.07131906607916119,0.040894015952086936,0.07405520581283799,0.03672846774316351,0.016441085891889907,0.06692778148039785,0.002118393305788568,0.08179032702357512,0.06621122965889362,0.10388721596134241,0.06620833230310373,0.13448460636529347,0.05361468561179331,0.0337923445176475,0.15336652313330415,0.02437327327217568,0.03334192227511192,0.011245618257792843,0.06138049893899581,0.04707115007092659,0.09343355060148308,0.11780840467894696,0.06250800259167642,0.09770374316269023,0.07971084004701222,0.0846132236710093,0.08503416019459527,0.06661146965801844,0.0751140552826169,0.08496659270560264,0.1214348165231053,0.07600335637982832,0.03251497385820786
C001,0.05545358488180948,0.0,0.11873456780865413,0.20669731518036263,0.07377155594228536,0.060985991933066384,0.03398033642087814,0.11911435273705527,0.08321022394261934,0.04131288633498215,0.045932843075967573,0.030429685628918367,0.011949926012816976,0.08223315591397623,0.10436391211401325,0.037355082807888344,0.03017271709711889,0.054949470153814385,0.17161991685716188,0.040633458501337025,0.09692897555966645,0.13545588878426448,0.11654874806808756,0.045810170697142265,0.03996808901065058,0.1079177450232157,0.07145592745256739,0.04038231057380049,0.03917406296325948,0.05478461424991916,0.0629761108631672,0.07907923706058811,0.15895147370059887,0.04346253101061056,0.1224922355185358,0.005991244889657884,0.08689729405014635,0.19908721587764416,0.040027053097155325,0.07771299644032179,0.05172946133868294,0.010259805654360972,0.016793881759927857,0.14870845174162686,0.1729887192688155,0.008585315674206472,0.07074505920119875,0.06455887273657449,0.06828855765136602,0.0562232417430357,0.01124659494574793,0.03334906289933415,0.035195702718821484,0.17500714686214408,0.12277129290190213,0.05671489544500165
C002,0.12240943169321818,0.11873456780865413,0.0,0.15674262201787548,0.1909706304657598,0.1714287733683731,0.14968338226511893,0.006610930678790669,0.15547211205021672,0.13584707455124953,0.13202477762690307,0.14391539865418762,0.10760136301490195,0.03858646006517935,0.19335901115058513,0.1532581745688974,0.10547655208913752,0.11908986318229604,0.1759244332907726,0.1410314512918355,0.18595396522554017,0.19851301302472218,0.0029745636740860534,0.16398472051253005,0.08796542177160598,0.19628100608094023,0.09106616881591606,0.12433698251012619,0.15733779620800115,0.12412055627971184,0.18074003240287484,0.18408037312592987,0.171929111913244,0.1608838256662314,0.020522424446902412,0.11286509568568205,0.12107653188917694,0.15441123287383726,0.10280435082807962,0.15506794899245838,0.11128308395093643,0.11114977817205224,0.10424075653997054,0.1677508220204195,0.1841290047652746,0.11500474127470403,0.05788139844220072,0.05430330191688273,0.18573949613506208,0.1749569269095296,0.11959231766502149,0.15135240996827104,0.14790038289133609,0.17080138376514312,0.19177185636841926,0.08992870622444249
C003,0.16203416464521353,0.20669731518036263,0.15674262201787548,0.0,0.27100190097514076,0.21965819752780472,0.23866765480125524,0.1632924164464732,0.1662905807016391,0.18726001135613143,0.17891108161140046,0.23665345716236985,0.19629815420683,0.1748298188647216,0.19909320755194057,0.24147069503333526,0.21701225768680854,0.1603167839198909,0.08308434804462703,0.19410003390131622,0.19577866948648973,0.1668083310652107,0.15501463605586388,0.2333272323851653,0.16861247726053563,0.19961012846647877,0.13526019710845344,0.17739222314792277,0.2287016214767678,0.16389485260360592,0.24323392648112208,0.21766066672170933,0.09456509836350378,0.22823307461210574,0.17686982376795574,0.20198638580669184,0.12962068313209543,0.010071167078919516,0.16720272532708672,0.17195129253339136,0.15913122226268783,0.2068724470708549,0.19107917270552344,0.10242713390755527,0.09395775737160778,0.20996696231274933,0.19331590661603593,0.17385397971271088,0.24547652148333768,0.24705863250596244,0.21550535561105397,0.23469952385303683,0.2413996739349927,0.07062784875780666,0.171941985377382,0.1500382631721243
C004,0.1091137654291972,0.07377155594228536,0.1909706304657598,0.27100190097514076,0.0,0.06004466679105645,0.04129893614154658,0.19062386568216333,0.11658004362978709,0.08406427881020101,0.09246169187160778,0.04734071996805275,0.08567692038266993,0.15310606595433648,0.11098491046423581,0.03772799835287487,0.087876302423491,0.1107015156187016,0.22057416516681716,0.07745411971453657,0.10678660901801584,0.1569301677917997,0.1889899560541406,0.03791720689807724,0.11244512627894734,0.11384927983219818,0.1384745495437938,0.09362484202414485,0.04231033469699122,0.1073345707260205,0.033987955411881154,0.07515883722760025,0.20595311922305576,0.04309023052102249,0.1920755939987881,0.07975174791893354,0.14244790001380453,0.2624425760847266,0.10678695848609684,0.109614914724357,0.11219010479173683,0.0800261889700177,0.09019618163072977,0.1946647866398589,0.21863875621925555,0.07612590252781362,0.1377416877042881,0.13675816965751678,0.0357855450489171,0.02452459208324643,0.07138286797107553,0.04043821798631521,0.0438604572176185,0.2270765218111064,0.1429822548366204,0.12556363967666395
C005,0.060675613060235244,0.060985991933066384,0.1714287733683731,0.21965819752780472,0.06004466679105645,0.0,0.055611845398818395,0.17315314376368127,0.05766247800315416,0.037694142975857936,0.044488377613849085,0.06072863781072515,0.0682027353261091,0.13853961279972826,0.05380243942659478,0.05496501384234964,0.08990674315031039,0.06336941850645919,0.1623949501227908,0.0312871950455684,0.04831303581536964,0.09752039419950191,0.1688556915911207,0.02852684218406529,0.08357167213667611,0.0570875324619317,0.09637612164088674,0.04999367669342412,0.03078597385783711,0.058575403070340856,0.026392235505630447,0.019938980146996334,0.14747385961244724,0.0253431451892009,0.17886119810959086,0.06512916676693685,0.09022892677398818,0.21049160085689794,0.07039644452689409,0.05082666938487756,0.0682109724094013,0.0712278262555512,0.06971831552525878,0.13611161218653142,0.1596834639532109,0.06884002343270312,0.13035350825450814,0.11989116731915501,0.026766153059317583,0.03706058410611821,0.06810594431230589,0.04740940247949052,0.062317309461638326,0.1697773123764803,0.08352886558409385,0.08770425712266196
C006,0.08065610837017492,0.03398033642087814,0.14968338226511893,0.23866765480125524,0.04129893614154658,0.055611845398818395,0.0,0.14932976221166125,0.09931779096102787,0.05865736484548634,0.06625924671725596,0.006876095275835557,0.045857674575435194,0.11182129944165806,0.10837193351874558,0.003575654615421153,0.04745820360828427,0.08125953891879653,0.19733120902517973,0.05394424110501174,0.1020306151144334,0.14797871954758407,0.14771934610408408,0.028359352444980113,0.07386530388173304,0.1118086312977262,0.10368289983924255,0.06421524495229963,0.024825874954051544,0.07933791941101115,0.0429354948442798,0.07549595906634742,0.1836747485956541,0.030350342347784477,0.1509709098645569,0.03976636766096087,0.11424167711203663,0.23070694614603576,0.07154405086080697,0.09269234173670704,0.08040033412754118,0.03897086539628162,0.05077349545197989,0.17283277539655295,0.19728545233789632,0.03505600039071564,0.0968606544762676,0.09550771713827075,0.04841204166366451,0.0306748360891635,0.03012800177257965,0.008218741443052733,0.0067144004039577316,0.20207241480962293,0.13426412490229545,0.08950820621938518
C007,0.12567203721264164,0.11911435273705527,0.006610930678790669,0.1632924164464732,0.19062386568216333,0.17315314376368127,0.14932976221166125,0.0,0.15922551768046933,0.1381116967076741,0.13463327420890675,0.14339917895469165,0.10825247466065174,0.037548226184069736,0.19670491702535362,0.15289772557004458,0.1042788730217966,0.12237434163443976,0.1821424588980705,0.14308074242444271,0.1892358267919142,0.20311825336586115,0.00893493470064637,0.16465078607608472,0.09001663747361821,0.19968443965881502,0.09533410391520312,0.1268189880814841,0.15799347999488764,0.12732367928048496,0.18155139001781656,0.1863405629694693,0.17793917812003568,0.16171983473195403,0.013935382201591738,0.11332272117321207,0.12577301677663622,0.16100388823917963,0.10533694831294121,0.15857685226028947,0.11447929740405947,0.11114513862232708,0.10514574567151788,0.17358176098975533,0.1902442059231219,0.11495361949059053,0.05558409036158541,0.05456740023323978,0.18663637239936975,0.17529229908670735,0.11934911291640614,0.15135063710657823,0.14726130104061955,0.17715125202132379,0.19607579278442938,0.09331790784252438
C008,0.03549225330888277,0.08321022394261934,0.15547211205021672,0.1662905807016391,0.11658004362978709,0.05766247800315416,0.09931779096102787,0.15922551768046933,0.0,0.04242113136686926,0.037394020048596606,0.10147991737190429,0.08176324146348742,0.13250487930570878,0.039803069218902504,0.10042600624391902,0.11150876746348908,0.0384027994211664,0.10474267692078672,0.0456359591726796,0.03353626298346456,0.05260784832955039,0.1525466221185135,0.08030877701186771,0.07636258827816422,0.04213128069392015,0.06525113630223461,0.0441906252645598,0.07861086449263036,0.034501023882809796,0.0838308565714521,0.05156525173446037,0.08981300864510772,0.07537271227935931,0.16878140551331833,0.08320576366117634,0.04269886588328681,0.1567075107994038,0.05969720609991074,0.0069725468838668665,0.04639741288384818,0.09128797408294943,0.07933198042990842,0.07845335749562349,0.10214962434711775,0.09139427763606121,0.13314663397722945,0.11512367939572742,0.08440327936464752,0.09236197539106047,0.09427972184478198,0.09200037442497719,0.10504582295545097,0.11236367904884167,0.040928618881460335,0.06621146897121832
C009,0.02524552056882195,0.04131288633498215,0.13584707455124953,0.18726001135613143,0.08406427881020101,0.037694142975857936,0.05865736484548634,0.1381116967076741,0.04242113136686926,0.0,0.008397413556788368,0.059928123534540745,0.0420834314672378,0.10543367885251362,0.06514881581287707,0.06031956158806267,0.07070644324435464,0.027249412301626745,0.13914150847558546,0.006992087365681721,0.05746519021300131,0.09423400341692639,0.13316143400164665,0.04618283162306326,0.04815541616628253,0.06863326819555365,0.0590286584691189,0.012305044041981199,0.042118989259334466,0.023365318602208588,0.05674560642617296,0.048240388948070534,0.1252289173766593,0.041042325061557715,0.14502078431533294,0.042196668206121425,0.05839766117649222,0.17855112874725335,0.03332685475974312,0.03655881533797894,0.030849132599215925,0.050173028789028504,0.041074589243852135,0.11429012573448182,0.13872584906117885,0.04974363964526334,0.10073750167558115,0.08678856927042271,0.05984228346702038,0.05985557926412955,0.05215607716798926,0.05214531482018527,0.06383887657876287,0.1445157231808325,0.08146125145731603,0.05003881051045652
