Node ID,Elevation_m
DEPOT,23.0
C001,86.0
C002,144.0
C003,10.0
C004,17.0
C005,57.0
C006,44.0
C007,76.0
C008,6.0
C009,111.0
C010,27.0
C011,53.0
C012,55.0
C013,0.0
C014,15.0
C015,29.0
C016,0.0
C017,18.0
C018,0.0
C019,106.0
C020,87.0
C021,0.0
C022,85.0
C023,65.0
C024,1.0
C025,0.0
C026,0.0
C027,68.0
C028,81.0
C029,17.0
C030,94.0
C031,71.0
C032,0.0
C033,93.0
C034,9.0
C035,71.0
C036,48.0
C037,0.0
C038,1.0
C039,115.0
C040,142.0
C041,71.0
C042,131.0
C043,71.0
C044,59.0
C045,154.0
C046,16.0
C047,1.0
C048,96.0
C049,53.0
C050,0.0
C051,3.0
C052,3.0
C053,9.0
C054,116.0
C055,52.0
C056,4.0
C057,16.0
C058,0.0
C059,100.0
C060,66.0
C061,36.0
C062,55.0
C063,5.0
C064,117.0
C065,0.0
C066,50.0
C067,137.0
C068,0.0
C069,67.0
C070,78.0
C071,38.0
C072,1.0
C073,80.0
C074,50.0
C075,33.0
EVS04330,2.0
EVS00826,-1.0
EVS03163,67.0
EVS03730,1.0
EVS02174,96.0
EVS00552,47.0
EVS04625,56.0
EVS02443,0.0
EVS02556,-1.0
EVS00810,49.0
EVS02039,212.0
EVS02909,18.0
EVS03645,105.0
EVS04640,27.0
EVS03776,64.0
EVS02379,55.0
EVS01209,38.0
EVS02587,1.0
EVS04457,3.0
EVS02733,14.0
EVS00534,52.0
EVS04366,159.0
EVS04139,137.0
EVS04293,4.0
EVS02136,41.0
EVS01828,65.0
EVS00405,11.0
EVS00168,5.0
EVS01192,9.0
EVS04455,31.0
