,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,9.5977,15.7857,23.2467,15.6669,9.3662,9.1652,25.7298,4.8938999999999995,6.1724,5.9799,6.673100000000001,3.2697,1.7058,21.2985,5.3282,10.7229,13.6839,7.3878,17.6066,7.166600000000001,7.0491,23.6348,11.1345,3.2016,28.9881,11.6279,10.2616,6.4082,13.5008,8.5227,1.583,22.7803,6.7736,18.9578,6.636100000000001,20.6202,25.4852,7.7776,9.8259,7.3427
C001,10.2435,0.0,8.2799,30.7547,8.161100000000001,1.1095,7.8568,34.633,6.5926,11.677,11.4981,15.5763,5.4676,8.842,28.8064,4.9125,18.2309,22.5871,8.7534,25.1146,10.9728,11.5648,31.1428,2.784,9.7392,37.8913,3.2774,1.6361,5.824,5.995100000000001,2.3171999999999997,9.4244,30.2883,10.9972,26.4658,7.053,28.1281,34.388400000000004,11.092,6.0142,6.9615
C002,16.432,8.1961,0.0,36.9432,3.0511,6.8674,4.194100000000001,30.786,12.7811,10.6908,11.8341,15.8393,11.2865,15.0305,34.995,8.5935,24.419400000000003,18.7401,14.9419,31.303099999999997,9.6442,10.2362,37.331300000000006,4.3146,15.927700000000002,34.0443,4.597899999999999,9.1166,7.1756,2.9648000000000003,7.6827,15.6129,36.4768,9.6686,32.6543,7.0222,34.3167,30.541400000000003,8.883,14.6458,15.4586
C003,22.7565,28.7291,34.9171,0.0,34.798300000000005,28.4976,33.017300000000006,31.397599999999997,23.234599999999997,26.4367,25.2968,25.99,24.5547,20.5003,1.7072,29.6952,17.4664,36.7575,25.4605,13.819,28.5828,28.4653,18.9916,30.266,20.5247,34.6559,30.7593,29.393,27.6932,32.6323,27.6541,20.4643,0.9933,28.189400000000003,14.3145,27.9211,2.9309000000000003,31.153,29.0626,28.9573,26.4741
C004,16.3159,8.08,2.9571,36.8272,0.0,6.7513000000000005,5.5581000000000005,32.15,12.665,12.054799999999998,13.1981,21.6487,11.1704,14.9145,34.8789,10.8272,24.3034,20.1041,14.8259,31.187099999999997,11.0082,11.6002,37.215300000000006,4.7749,15.8116,35.408300000000004,5.0582,9.0006,8.518799999999999,2.8488,7.5667,15.4969,36.360800000000005,11.0326,32.5382,8.3653,34.2006,31.9054,10.247,14.5297,15.3426
C005,10.179200000000002,1.3497,6.0062,30.6904,6.1432,0.0,8.235100000000001,31.7385,6.5283,11.6433,11.4338,15.512,5.4033999999999995,8.777700000000001,28.7422,4.8483,18.1666,19.6926,8.689200000000001,25.0503,10.5967,11.1887,31.0786,1.7342,9.6749,34.9968,2.2275,2.8854,5.7597,3.9772,2.3337,9.3601,30.224,10.6211,26.4015,5.3517,28.0639,31.4939,10.7159,8.393,9.2059
C006,8.9726,7.5309,3.9414,35.0848,5.279,8.4161,0.0,26.8972,10.9227,6.802,7.945399999999999,11.9506,6.8893,13.1721,33.1366,5.693,22.561,14.8514,13.0836,29.4447,5.7554,6.3475,35.4729,6.5651,14.0693,30.1556,6.1888000000000005,8.4514,3.6643,7.6244,5.5872,10.2815,34.6184,5.7798,30.795900000000003,3.6222,32.4583,26.6527,4.9532,12.7874,13.6003
C007,25.6417,34.9171,31.1494,31.4061,32.487,34.6857,27.1868,0.0,30.2134,21.4957,21.9001,21.317400000000003,26.3314,26.6691,31.652099999999997,28.3607,34.0544,16.2394,32.7072,43.7438,21.752,21.6727,48.9163,30.5698,29.149099999999997,4.1772,30.0454,35.581,27.0231,30.5547,29.8103,26.5408,30.8214,22.24,44.2393,26.2948,33.0517,3.6048,22.8913,35.145300000000006,32.662099999999995
C008,5.3431999999999995,6.9826999999999995,13.1707,25.3039,13.0519,6.7512,11.2709,29.7327,0.0,10.1753,9.9829,10.676,4.0037,3.9417,23.3556,7.9488,12.7801,17.6869,2.5073000000000003,19.6638,11.1696,11.052,25.692,8.5196,3.6585,32.991099999999996,9.0129,7.277100000000001,8.8602,10.8859,5.9077,4.524100000000001,24.8375,10.7761,21.0149,10.0892,22.6773,29.4882,11.6494,6.841399999999999,3.1813
C009,6.6029,11.2087,10.6974,27.5394,12.0351,10.9772,6.7348,20.834,11.1746,0.0,1.233,4.9306,6.2363,7.6303,25.591099999999997,6.7642,15.0156,8.788200000000002,13.6684,21.8993,1.8149,1.2822,27.9275,10.1178,10.1103,24.0924,9.5935,12.1292,6.4008,10.102799999999998,9.0762,7.502,27.073,1.7883,23.250400000000003,5.8428,24.9128,20.5894,2.9918,16.1066,13.6233
