Node ID,Elevation_m
DEPOT,23.0
C001,80.0
C002,6.0
C003,10.0
C004,17.0
C005,57.0
C006,44.0
C007,76.0
C008,6.0
C009,56.0
C010,59.0
C011,53.0
C012,31.0
C013,4.0
C014,84.0
C015,6.0
C016,18.0
C017,106.0
C018,109.0
C019,1.0
C020,37.0
C021,65.0
C022,1.0
C023,98.0
C024,68.0
C025,81.0
C026,17.0
C027,16.0
C028,54.0
C029,8.0
C030,59.0
C031,6.0
C032,22.0
C033,71.0
C034,48.0
C035,0.0
C036,124.0
C037,2.0
C038,115.0
C039,142.0
C040,29.0
C041,24.0
C042,71.0
C043,60.0
C044,29.0
C045,16.0
C046,1.0
C047,72.0
C048,0.0
C049,24.0
C050,116.0
C051,23.0
C052,228.0
C053,16.0
C054,0.0
C055,100.0
C056,66.0
C057,36.0
C058,0.0
C059,0.0
C060,0.0
C061,50.0
C062,36.0
C063,22.0
C064,67.0
C065,140.0
C066,3.0
C067,1.0
C068,36.0
C069,33.0
C070,6.0
C071,0.0
C072,89.0
C073,23.0
C074,53.0
C075,13.0
C076,1.0
C077,155.0
C078,13.0
C079,104.0
C080,34.0
C081,152.0
C082,-2.0
C083,52.0
C084,11.0
C085,-1.0
C086,15.0
C087,61.0
C088,185.0
C089,58.0
C090,32.0
C091,44.0
C092,25.0
C093,36.0
C094,6.0
C095,58.0
C096,6.0
C097,122.0
C098,16.0
C099,186.0
C100,107.0
EVS01816,3.0
EVS03706,87.0
EVS01192,9.0
EVS00826,-1.0
EVS01689,164.0
EVS04365,3.0
EVS01245,129.0
EVS02923,2.0
EVS02443,0.0
EVS00810,49.0
EVS00552,47.0
EVS04298,3.0
EVS04889,89.0
EVS02893,1.0
EVS04734,1.0
EVS01509,100.0
EVS02225,66.0
EVS04773,165.0
EVS01283,55.0
EVS02094,56.0
EVS03684,10.0
EVS04400,3.0
EVS00534,52.0
EVS02556,-1.0
EVS01342,224.0
EVS03542,1.0
EVS02273,129.0
EVS03776,64.0
EVS04293,4.0
EVS00405,11.0
