,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,9.597700000000001,15.7857,23.2467,15.6669,9.366200000000001,9.1652,25.7298,4.8938999999999995,6.1724,5.9799,9.4907,15.3086,2.5995999999999997,5.6682,2.4988,1.0997000000000001,4.567399999999999,7.6879,10.3459,2.8293000000000004,11.607299999999999,26.397599999999997,5.5186,2.0054000000000003,11.2356,0.5706,1.5275,6.844600000000001,3.4389000000000003,7.2192,23.1588,10.0259,6.2242,8.4988,4.0529,15.1273,15.3407,2.8016,10.3685,14.831,1.7763,7.640899999999999,1.8962,2.3479,1.2559,27.8277,7.0296,14.280700000000001,16.8659,10.988100000000001,10.516,14.7872,1.6098,23.9967,6.8748000000000005,2.7959,2.406,16.9769,16.2085,5.946899999999999,3.277,15.5052,4.1626,7.471100000000001,6.3034,14.6597,6.5715,1.8377000000000001,3.6892,9.4873,17.7572,11.4123,0.7712,6.6596,0.49810000000000004,4.5246,6.2895,2.0786,7.4462,8.0628,5.1058,6.2201,13.7143,2.7041,17.624299999999998,10.030700000000001,8.7077,13.5501,15.3698,2.3687,15.506,13.5927,15.3962,9.6694,8.5488,0.7895,9.9997,1.269,5.8222,7.468100000000001,13.8236,17.5306,14.6986,24.0852,16.7566,2.5838,6.2604,9.6024,10.1373,8.0009,3.7519,8.6202,13.086,6.1448,10.8474,7.4318,10.2497,8.788799999999998,6.6377,16.3615,4.345899999999999,9.6249,17.5895,11.954600000000001,17.5616,11.3092,12.1735,13.71,15.148200000000001,5.7504,13.7655,11.9188,9.5034,9.8883,7.618399999999999,10.4809,14.588799999999999,20.1086,17.1274,10.1809,5.5225,13.868,17.5352,8.6703,4.5071,11.1225,7.8607,7.5988,8.961200000000002,6.9994,6.673100000000001,3.2697,1.7058,21.2985,5.3282,10.7229,13.6839,7.3878,17.6066,7.166600000000001,7.0491,23.6348,11.1345,3.2016,28.9881,11.6279,10.2616,6.4082,13.5008,8.5227,1.583,22.7803,6.7736,18.9578,6.636100000000001,20.6202,25.4852,7.7776000000000005,9.825899999999999,7.3427
C001,10.2435,0.0,8.2799,30.7547,8.161100000000001,1.1095,7.8568,34.633,6.5926,11.677,11.4981,10.0067,5.8901,9.8219,8.3365,8.8565,9.9265,5.9152,11.0146,6.5342,11.7325,4.1267,35.3008,7.8347,7.5637,4.5074,10.0485,9.7215,12.3628,11.7053,10.5459,30.6668,9.5821,11.3355,11.8508,12.3193,24.0305,7.834899999999999,12.371,4.3393999999999995,6.4805,11.4666,13.159,11.125,7.182300000000001,6.5577,36.7309,12.5477,23.1839,25.769099999999998,1.4309,2.5488000000000004,5.360399999999999,8.46,31.5047,12.3929,8.5436,11.3092,25.8801,23.7165,7.3475,12.180200000000001,24.4084,4.5003,6.0188999999999995,8.1323,22.1677,15.4747,10.6097,13.004100000000001,9.1061,25.265099999999997,3.9316999999999998,9.598,12.177700000000002,9.834100000000001,9.1795,7.575699999999999,10.748,12.9643,1.7379,6.3423,7.6207,5.3638,7.9401,25.1323,2.7636999999999996,12.4749,3.2444,24.273,11.2719,6.0875,22.495900000000002,24.299400000000002,5.8576999999999995,12.3161,10.1255,1.0951,6.623399999999999,4.8347,5.3547,22.7268,25.0386,23.6018,32.9884,9.2509,8.928700000000001,8.0893,1.414,2.6315,2.9065,12.655100000000001,5.226,4.7355,11.492799999999999,2.067,16.335,15.4557,1.2312,2.7632,25.2647,7.0927,5.3253,25.0975,2.4965,25.069599999999998,2.4282,3.7288,22.6132,24.0514,5.006600000000001,6.2597,2.0136,13.270700000000001,5.5887,11.3781,7.7677,23.492,27.6166,9.6216,4.151800000000001,8.1536,3.2745,10.029399999999999,8.2036,7.060899999999999,3.5254000000000003,13.7214,2.2815,12.720799999999999,6.1131,15.5763,5.4676,8.842,28.8064,4.9125,18.230900000000002,22.5871,8.7534,25.1146,10.9728,11.5648,31.142799999999998,2.784,9.7392,37.8913,3.2774,1.6360999999999999,5.824,5.995100000000001,2.3171999999999997,9.4244,30.2883,10.997200000000001,26.465799999999998,7.053,28.1281,34.388400000000004,11.092,6.0142,6.9615
C002,16.432,8.1961,0.0,36.9432,3.0511,6.8674,4.194100000000001,30.786,12.7811,10.6908,11.834100000000001,4.9159,1.514,16.0104,8.5342,15.045,16.115,8.501299999999999,10.0953,15.165799999999999,17.9211,4.8622,31.4537,8.3947,10.9508,5.579899999999999,16.237,15.91,11.370899999999999,17.8938,7.6653,36.8553,3.571,10.0068,10.5221,18.5078,20.1835,0.5404,18.5595,6.2094,2.8966,17.655099999999997,11.6,17.3135,13.3708,12.3766,32.883900000000004,13.273,19.3369,21.922099999999997,7.3893,8.6343,9.9045,14.6485,37.6932,13.1182,11.6534,17.497799999999998,22.033099999999997,29.905,13.536,18.3687,20.561400000000003,10.3191,13.7001,7.7518,28.3562,15.7377,16.7982,19.1926,17.6032,31.4537,5.5987,15.7865,11.1859,16.0226,15.368,7.670100000000001,16.9365,13.6895,7.9402,7.9463,13.8092,3.4628,14.1286,31.3208,8.849200000000002,11.1463,5.9677,20.426,17.4604,1.7114,18.6489,20.4524,14.4893,10.9875,16.314,8.575700000000001,12.442200000000001,10.8654,5.4088,18.8798,31.2271,19.7547,29.1414,2.4122,15.117299999999998,7.794899999999999,5.8785,6.6715,12.820799999999998,18.8436,4.7435,2.8108,10.164100000000001,8.1525,15.5547,14.1271,6.964899999999999,11.3726,21.4177,13.2812,14.444799999999999,31.286,4.8821,31.2581,6.656,4.248399999999999,18.7662,20.2044,11.0373,2.7836,5.2634,11.9421,14.7081,10.0495,3.2663,19.645,33.805099999999996,2.783,6.6791,8.9284,6.2856000000000005,0.9377000000000001,5.4818,13.2494,5.0474,14.4466,9.3958,9.4771,6.2074,15.8393,11.2865,15.0305,34.995,8.5935,24.419400000000003,18.740099999999998,14.9419,31.303099999999997,9.644200000000001,10.2362,37.331300000000006,4.3146,15.927700000000002,34.0443,4.597899999999999,9.1166,7.1756,2.9648000000000003,7.6827,15.6129,36.476800000000004,9.6686,32.6543,7.0222,34.3167,30.541400000000003,8.883,14.6458,15.4586
C003,22.7565,28.7291,34.9171,0.0,34.798300000000005,28.4976,33.017300000000006,31.397599999999997,23.234599999999997,26.436700000000002,25.296799999999998,30.7757,34.44,19.784,26.953200000000002,21.5864,21.6742,25.8523,28.972900000000003,29.4773,24.2456,30.7387,32.065400000000004,26.8036,23.2904,30.367,22.5615,20.7682,26.1615,19.8841,28.5042,18.5156,33.224,27.6405,27.8157,19.9361,33.996,34.4721,21.2592,29.5,33.9624,20.7973,26.9578,21.685299999999998,21.8491,22.5409,33.4955,26.3465,37.3543,39.9394,30.1196,29.6474,33.9186,21.6232,19.3534,26.1917,24.212,23.8223,31.3823,12.4209,24.0545,24.6932,32.0445,24.829900000000002,26.6026,27.5884,11.6113,25.8884,23.122700000000002,22.6325,28.6187,13.9696,30.5438,21.3457,25.9765,21.4813,22.737599999999997,27.5744,20.0787,26.763099999999998,27.194200000000002,26.3908,24.3277,32.845699999999994,21.7918,13.8367,29.1621,28.0246,32.6815,34.2386,23.7849,34.6374,36.666199999999996,34.264900000000004,28.8008,27.8657,21.4496,29.1311,22.554,29.6174,30.5153,36.8971,13.743,33.4225,29.753,35.888,21.2095,27.5453,28.7338,29.2687,27.1323,23.0688,31.455599999999997,32.217400000000005,27.560599999999997,29.9788,26.7487,29.566599999999998,27.9202,25.769099999999998,33.5085,23.036099999999998,28.7563,13.8019,31.086,13.774,30.4406,31.3049,36.7836,34.0169,29.7892,32.8969,31.0502,28.8203,29.0197,29.0347,35.2496,32.665,2.5356,36.2588,29.3123,26.8075,32.9995,36.666599999999995,29.955299999999998,23.2223,30.2539,27.177599999999998,26.7302,29.127,28.2844,25.99,24.5547,20.5003,1.7072,29.6952,17.4664,36.7575,25.4605,13.819,28.5828,28.4653,18.9916,30.266,20.5247,34.6559,30.7593,29.393,27.6932,32.6323,27.6541,20.464299999999998,0.9933,28.189400000000003,14.3145,27.9211,2.9309000000000003,31.153,29.0626,28.9573,26.4741
C004,16.3159,8.08,2.9571,36.8272,0.0,6.7513000000000005,5.5581000000000005,32.15,12.665,12.054799999999998,13.1981,6.2799,2.9453,15.8943,9.898200000000001,14.929,15.999,9.8445,11.459299999999999,15.049700000000001,17.805,5.472300000000001,32.817800000000005,9.6746,13.2665,6.1901,16.121,15.794,12.7349,17.7778,9.0293,36.7393,4.935,11.3708,11.8861,18.3918,21.5475,3.4975,18.4435,6.7214,4.3279,17.539,12.964,17.1975,13.2548,12.2605,34.2479,14.637,20.7009,23.286099999999998,7.2732,9.5726,9.7884,14.5325,37.5772,14.4822,14.2464,17.381700000000002,23.3971,29.7889,13.42,18.2527,21.9254,10.203,13.584100000000001,9.1158,28.2402,21.547099999999997,16.6821,19.0765,17.4872,31.3376,6.2089,15.6705,12.5499,15.9065,15.252,9.0341,16.820400000000003,15.0535,7.824199999999999,9.2895,13.693200000000001,5.165,14.0126,31.2048,9.7875,12.510299999999999,5.8516,21.79,17.3444,3.1426999999999996,20.012900000000002,21.8164,14.3732,12.3515,16.1979,8.459700000000002,12.3262,10.7494,6.752,20.2438,31.111099999999997,21.1187,30.5054,1.6439000000000001,15.0012,9.1589,6.798100000000001,6.5554,12.7047,18.7276,6.1075,4.242,11.5281,9.0908,16.9187,15.491100000000001,6.8488999999999995,11.2565,22.7817,13.1652,14.328700000000001,31.17,4.766,31.142,6.539899999999999,4.1324,20.130200000000002,21.5684,10.921299999999999,2.6675999999999997,5.3796,13.3061,14.5921,11.4135,4.6303,21.009,33.689,2.0145999999999997,7.9609,10.271600000000001,6.1696,2.4225,6.8458000000000006,13.1334,5.6575,15.8106,9.2797,10.8411,7.5714,21.6487,11.170399999999999,14.9145,34.8789,10.827200000000001,24.3034,20.1041,14.825899999999999,31.187099999999997,11.0082,11.600200000000001,37.215300000000006,4.7749,15.8116,35.408300000000004,5.0582,9.0006,8.518799999999999,2.8488,7.5667,15.4969,36.360800000000005,11.0326,32.5382,8.3653,34.2006,31.9054,10.247,14.5297,15.342600000000001
C005,10.179200000000002,1.3497000000000001,6.0062,30.6904,6.1432,0.0,8.235100000000001,31.7385,6.5283,11.6433,11.4338,8.9569,4.8403,9.7576,8.272200000000002,8.792200000000001,9.862200000000001,5.850899999999999,10.950299999999999,8.913,11.668299999999999,4.6212,32.4063,7.7703999999999995,7.4994,5.339,9.9843,9.6573,12.2985,11.6411,10.1313,30.6025,8.532200000000001,10.959299999999999,11.4746,12.255,21.136,5.5613,12.306700000000001,3.1375,5.4306,11.402299999999999,12.5525,11.0607,7.118,6.4935,33.836400000000005,12.4834,20.2894,22.874599999999997,1.7499,2.8678000000000003,5.679399999999999,8.395700000000001,31.4404,12.328700000000001,8.479299999999999,11.245,22.985599999999998,23.6522,7.2832,12.1159,21.513900000000003,4.436,7.1109,6.5678,22.1034,15.4104,10.545399999999999,12.9398,11.3504,25.2009,3.0516,9.533700000000001,12.1134,9.7698,9.1153,6.1251999999999995,10.6837,12.9,1.6737,6.2781,7.5564,4.313899999999999,7.8758,25.068099999999998,3.0827,12.098799999999999,2.8272,21.3785,11.207600000000001,5.0376,19.6014,21.4049,8.2365,11.94,10.061200000000001,2.3445,6.5591,4.7703999999999995,5.9009,19.8323,24.9743,20.7073,30.0939,7.233,8.8645,8.025,0.36410000000000003,1.5443,4.1558,12.5908,5.8778999999999995,3.6856,11.1166,2.386,16.270799999999998,15.079600000000001,1.1669,3.8552,22.3702,7.0283999999999995,5.6443,25.0332,2.314,25.0053,2.0709,2.679,19.718700000000002,21.1569,4.9423,4.241899999999999,0.9637,12.8946,5.9077,11.002,6.7178,20.5975,27.5523,7.603800000000001,2.9498,8.0894,2.8571999999999997,8.0116,7.0017,6.9966,2.1275,13.6571,3.107,12.344700000000001,4.9112,15.512,5.4033999999999995,8.777700000000001,28.7422,4.8483,18.1666,19.6926,8.689200000000001,25.0503,10.5967,11.1887,31.078599999999998,1.7342,9.6749,34.9968,2.2275,2.8854,5.7597,3.9772,2.3337,9.360100000000001,30.224,10.6211,26.4015,5.3517,28.0639,31.4939,10.7159,8.393,9.2059
C006,8.9726,7.5309,3.9414000000000002,35.0848,5.279,8.4161,0.0,26.8972,10.9227,6.802,7.945399999999999,0.9107999999999999,4.4925,14.152,4.5764,13.1866,9.3832,5.6008000000000004,6.206600000000001,13.3074,9.5297,4.3401000000000005,27.565,4.4363,7.4302,3.2596999999999996,8.9685,14.0517,7.4822,16.0355,3.7355,34.996900000000004,0.8847999999999999,6.1181,6.6334,16.6494,16.294700000000002,4.4818,12.347,4.0017,3.0251,11.1106,7.7112,10.9511,9.7467,8.3491,28.9952,9.3842,15.4482,18.0333,9.767,10.8849,13.1547,9.090200000000001,35.8348,9.2294,8.1327,9.3855,18.1444,28.046599999999998,11.6776,9.7934,16.6727,7.8454,11.841700000000001,3.7933000000000003,26.497799999999998,11.849,8.879299999999999,12.3304,15.7448,29.595299999999998,3.7075,9.743799999999998,7.2971,9.4977,13.5097,3.7118,15.078100000000001,9.800799999999999,6.3052,4.4256,11.9508,4.2521,12.2702,29.4625,11.0998,7.2576,8.6936,16.5373,9.3481,4.6899,14.7601,16.563599999999997,12.6309,7.0987,9.0441,7.9105,8.25,6.187,2.7,14.991,29.3687,15.866,25.2527,4.6401,13.258899999999999,3.8363,8.129,6.0553,10.962399999999999,10.288799999999998,2.5358,5.0613,6.275399999999999,10.403,11.665899999999999,10.238299999999999,6.2997,8.5458,17.529,11.422799999999999,12.5864,29.427599999999998,7.5498,29.3997,9.3819,6.8021,14.8775,16.3156,6.1152,7.4432,7.5139,8.0533,12.8498,5.899,1.7104000000000001,15.756200000000002,31.9467,5.010800000000001,3.6954000000000002,5.1334,9.0116,3.4067,1.2929000000000002,11.391,4.9085,10.5579,7.5105,5.5473,2.249,11.9506,6.8893,13.1721,33.1366,5.693,22.561,14.8514,13.0836,29.4447,5.7554,6.3475,35.4729,6.5651,14.0693,30.1556,6.1888000000000005,8.4514,3.6643000000000003,7.6244,5.5872,10.2815,34.6184,5.7798,30.795900000000003,3.6222,32.4583,26.6527,4.9532,12.7874,13.600299999999999
C007,25.6417,34.9171,31.1494,31.4061,32.487,34.6857,27.186799999999998,0.0,30.2134,21.4957,21.9001,26.740299999999998,30.2395,26.8562,24.5187,28.0092,25.038400000000003,26.846,24.947200000000002,35.6653,23.505,28.2181,5.3729,24.7377,24.5378,27.4113,25.642599999999998,26.356099999999998,21.4369,26.1758,23.7879,48.4403,28.1092,21.3245,21.0277,26.0891,13.4779,30.9605,24.257,28.153299999999998,28.7721,25.3295,21.0627,24.41,27.858400000000003,25.9915,3.0168000000000004,20.6113,16.8362,19.421400000000002,33.7716,35.8355,37.032,26.8993,49.2782,20.766,23.5548,23.7849,10.8642,42.3456,31.266299999999998,22.8975,11.526399999999999,28.5424,32.7906,24.7472,41.536,21.215799999999998,24.761400000000002,22.6112,34.8067,43.8943,27.8592,25.991,21.251900000000003,25.9083,30.0351,25.5085,26.3803,21.590700000000002,33.3823,26.691,31.5396,28.108700000000002,28.2145,43.7615,35.350199999999994,20.956,33.3125,13.7205,23.983,30.4369,16.1481,13.746799999999999,34.988800000000005,21.0777,26.1375,35.3191,25.606900000000003,28.854599999999998,27.046799999999998,16.3791,43.6678,12.9045,2.3476,31.8481,28.0942,24.7042,32.1336,35.4568,33.3203,22.4086,26.6874,29.6195,21.7925,36.1668,21.032700000000002,19.6051,34.1083,31.9572,12.9905,31.0699,34.944300000000005,43.726699999999994,31.5544,43.698699999999995,34.000800000000005,30.8067,16.2655,13.4988,28.782799999999998,30.8194,31.5186,19.75,35.207699999999996,21.826,28.927599999999998,12.147,32.8976,32.218900000000005,28.042099999999998,25.4968,33.6305,30.6148,25.89,30.963,29.0601,19.5199,32.9183,22.338900000000002,26.444599999999998,21.317400000000003,26.331400000000002,26.6691,31.652099999999997,28.3607,34.0544,16.2394,32.7072,43.7438,21.752,21.6727,48.9163,30.5698,29.149099999999997,4.1772,30.0454,35.581,27.0231,30.5547,29.810299999999998,26.5408,30.8214,22.24,44.2393,26.2948,33.0517,3.6048,22.891299999999998,35.145300000000006,32.662099999999995
C008,5.3431999999999995,6.9826999999999995,13.1707,25.303900000000002,13.0519,6.7512,11.2709,29.7327,0.0,10.1753,9.982899999999999,12.1744,12.6936,3.7411999999999996,9.5399,2.4744,5.0263,4.4513,11.559700000000001,7.3614,6.8323,8.992299999999998,30.4005,9.3904,5.8771,8.6206,5.1483,4.8213,10.8476,5.6247,11.091,25.216,11.4776,10.2272,12.5018,6.2386,19.130200000000002,12.725700000000002,6.2903,7.7535,12.216,5.434699999999999,11.6439,6.2246999999999995,3.0852,5.1277,31.8307,11.0326,18.2837,20.8688,8.3732,7.5315,11.8028,3.5598,26.053900000000002,10.877799999999999,6.7988,6.409,20.9799,18.265700000000002,1.1013,7.28,19.508200000000002,2.8775999999999997,3.3098,11.1686,16.716900000000003,10.574399999999999,5.7094,8.1038,5.3259,19.8143,8.7974,4.6978,10.6625,4.9338,2.3173000000000004,10.612,4.6673,11.4491,5.4478,9.3786,1.3745999999999998,11.0993,2.2574,19.6815,7.0462,12.710600000000001,10.9351,19.372799999999998,6.3716,12.891,17.595599999999997,19.399099999999997,6.6849,12.5518,5.2252,7.0152,5.1407,7.871,8.7689,17.8266,19.587799999999998,18.7015,28.0882,14.1416,2.526,11.1256,6.9874,7.5223,5.0164,7.7548,9.709200000000001,10.471,10.1473,7.8629,11.4348,14.2527,6.1738,4.570399999999999,20.3645,0.8298,6.6404,19.6467,9.3396,19.6187,8.6942,9.5585,17.713,19.1512,8.0428,11.1505,9.303799999999999,13.5064,6.9038,11.6214,13.503200000000001,18.5917,22.1658,14.5124,7.5659,9.394200000000001,11.253,14.920200000000001,11.617700000000001,0.798,8.5075,11.863700000000001,4.9838000000000005,12.9641,9.527299999999999,10.676,4.0037,3.9417,23.3556,7.9488,12.780100000000001,17.6869,2.5073000000000003,19.6638,11.1696,11.052,25.692,8.5196,3.6585,32.991099999999996,9.0129,7.277100000000001,8.8602,10.8859,5.9077,4.524100000000001,24.8375,10.7761,21.0149,10.0892,22.6773,29.4882,11.6494,6.841399999999999,3.1813000000000002
C009,6.6029,11.2087,10.6974,27.5394,12.0351,10.9772,6.7348,20.834,11.1746,0.0,1.233,6.288399999999999,9.787600000000001,6.8506,4.0668,8.2499,5.9996,6.672,5.0477,16.6266,3.5576999999999996,7.7661999999999995,21.5018,4.2858,4.581300000000001,6.9594,6.603800000000001,7.3173,0.7699,7.137,3.336,27.4515,7.6573,0.8725,2.0085,7.0504,10.2315,10.5086,5.6347,7.7014,8.3201,5.3245,1.5660999999999998,4.4665,7.775399999999999,6.377800000000001,22.932,2.6719,9.385,11.9701,12.5991,16.7967,16.580099999999998,7.1188,28.2894,2.5171,3.3952,4.7461,12.0812,20.501099999999997,12.2275,3.8525,10.6095,8.3331,13.7518,4.2953,18.9524,4.829,5.722600000000001,5.618,15.7679,22.049799999999998,7.4072,6.9521999999999995,0.5848,6.8695,10.275799999999998,5.0566,6.3748000000000005,3.0885,9.6738,5.6752,12.5008,7.6567,8.455200000000001,21.917,16.3114,2.6329000000000002,12.8606,10.4741,4.9441999999999995,9.9849,8.6969,10.500399999999999,15.9501,2.4741,7.0987,11.588299999999998,5.7257,7.2581999999999995,6.5948,8.9278,21.8233,9.8028,19.1895,11.3962,9.055399999999999,4.2523,11.2134,11.2906,14.2815,3.5764,6.2355,9.1675,1.3406,13.2352,4.645899999999999,4.1751000000000005,10.399799999999999,12.9184,11.4657,10.097100000000001,15.9056,21.8822,11.1025,21.854200000000002,13.5489,10.354700000000001,8.8143,10.2524,7.1863,10.3674,11.066600000000001,3.4286999999999996,16.1689,2.2668000000000004,8.475700000000002,9.693,24.4012,11.7669,8.0928,4.4973,13.1785,10.162799999999999,5.4381,10.2582,8.6082,3.8456,9.925799999999999,2.9053,5.9927,4.9306,6.2363,7.6303,25.591099999999997,6.7642,15.015600000000001,8.788200000000002,13.6684,21.8993,1.8149000000000002,1.2822,27.9275,10.117799999999999,10.110299999999999,24.0924,9.5935,12.1292,6.4008,10.102799999999998,9.0762,7.502,27.073,1.7883,23.250400000000003,5.8428,24.9128,20.5894,2.9918,16.1066,13.623299999999999
