,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,746.5,918.8,1334.4,929.1,682.4,977.8,1827.5,396.8,708.3,580.8,983.5,900.2,245.3,575.9,251.3,145.3,505.6,1026.6,715.0,339.8,870.6,1959.0,561.9,233.4,846.2,76.6,220.9,660.7,411.9,757.8,1562.9,1046.6,696.2,829.8,524.9,1224.0,893.2,365.6,724.3,945.1,255.1,777.8,247.8,255.8,159.7,2001.7,680.3,1317.7,1592.9,899.4,742.6,1066.2,157.0,1687.9,666.6,337.6,272.7,1393.0,1056.7,517.1,358.2,1315.9,502.7,637.5,666.1,977.1,673.1,211.9,463.8,858.7,1332.6,831.4,104.6,634.0,75.5,499.5,641.7,277.7,814.9,563.1,521.1,549.3,874.7,275.4,1302.8,673.3,873.4,912.5,1263.2,275.2,936.9,1135.5,1257.1,667.9,833.4,101.2,738.9,142.9,664.2,761.0,1224.7,1280.3,1242.5,1703.5,1039.0,274.5,659.9,688.7,567.4,563.1,407.3,873.2,855.2,717.8,782.5,744.1,898.5,625.1,473.1,1370.6,406.0,613.4,1294.4,752.9,1287.7,959.4,761.8,1180.2,1234.1,650.5,800.3,722.9,896.8,661.7,822.3,1055.7,1144.3,1204.0,1172.6,696.1,596.7,964.0,1017.7,901.4,419.1,784.1,779.9,562.8,981.2,721.6,697.5,390.5,186.0,1257.7,607.2,932.0,1204.5,636.5,1298.5,785.6,775.7,1660.9,637.4,307.7,2138.8,709.0,747.2,639.7,766.9,530.4,185.6,1336.8,785.8,1324.5,726.0,1222.0,1886.0,811.9,678.8,572.9
C001,736.6,0.0,637.8,1760.1,648.1,182.7,864.1,2402.2,515.1,1156.0,1095.9,963.1,592.0,649.7,811.2,626.4,783.6,622.2,1315.8,595.1,914.5,563.0,2533.7,776.5,765.0,595.7,742.7,742.5,1175.8,797.4,1047.0,1988.6,892.8,1118.7,1130.8,910.4,1798.7,612.2,946.3,495.0,613.8,826.4,1292.9,876.6,635.2,699.0,2576.4,1186.8,1892.4,2167.6,217.8,308.0,575.5,647.0,2113.6,1173.1,861.2,847.4,1967.7,1482.4,599.7,932.9,1890.6,464.2,659.1,837.6,1402.8,1247.8,794.9,1096.6,991.3,1758.3,523.8,742.9,1149.1,712.0,695.5,773.1,725.4,1321.4,204.1,657.6,631.9,543.4,616.0,1728.5,280.6,1212.6,382.0,1837.9,849.9,628.7,1710.2,1831.8,548.0,1172.6,737.7,143.1,695.2,531.0,602.5,1799.4,1706.0,1817.2,2278.2,758.0,627.3,831.4,178.9,286.4,280.5,982.0,673.9,523.9,1129.2,273.1,1318.8,1399.3,147.5,294.2,1945.3,547.6,516.6,1720.1,373.4,1713.4,307.4,423.8,1754.9,1808.8,530.8,519.3,245.5,1228.6,564.9,1095.7,726.4,1719.0,1629.7,891.6,466.8,826.7,382.6,736.7,919.9,550.4,440.4,1311.7,340.3,1254.6,680.2,1272.2,585.1,639.3,1683.4,519.7,1357.7,1779.2,728.0,1724.2,1067.3,1119.1,2086.6,306.1,606.3,2713.5,373.7,166.3,611.7,485.9,274.9,701.3,1762.5,1069.7,1750.2,756.2,1647.7,2460.7,1081.9,558.9,705.5
C002,955.3,636.0,0.0,1978.8,255.1,509.5,359.4,2221.6,733.8,988.3,1051.9,452.0,133.8,868.4,778.9,845.1,1002.3,746.6,1162.9,913.8,1133.2,414.4,2353.1,732.6,972.4,444.0,961.4,961.2,1031.9,1016.1,708.2,2207.3,302.8,931.3,943.4,1129.1,1618.1,50.2,1165.0,528.7,230.6,1045.1,1127.6,1095.3,853.9,920.8,2395.8,1178.8,1711.8,1987.0,667.2,789.7,812.5,865.7,2332.3,1165.1,1044.6,1066.1,1787.1,1701.1,818.4,1151.6,1710.0,686.0,987.5,738.8,1621.5,1408.3,1013.6,1315.3,1246.0,1977.0,467.6,961.6,1005.2,930.7,914.2,672.3,944.1,1313.4,559.3,695.4,850.6,314.9,834.7,1947.2,762.3,1025.2,531.5,1657.3,1068.6,170.5,1529.6,1651.2,866.7,985.2,956.4,671.8,917.0,771.2,451.6,1618.8,1924.7,1636.6,2097.6,288.3,846.0,745.0,491.1,451.0,761.9,1200.7,374.3,254.9,941.8,754.8,1369.4,1211.9,494.0,688.2,1764.7,766.3,812.2,1938.8,429.2,1932.1,595.0,378.8,1574.3,1628.2,771.0,308.6,431.2,1041.2,860.5,908.3,260.1,1538.4,1848.4,421.9,554.7,811.5,583.0,116.0,497.2,769.1,455.1,1303.7,606.6,900.8,538.9,1432.7,806.9,858.0,1902.1,748.9,1576.4,1598.6,946.7,1942.9,879.9,931.7,2305.3,348.8,825.0,2532.9,406.1,695.0,621.9,268.7,546.6,920.0,1981.2,882.3,1968.9,662.4,1866.4,2280.1,843.7,877.6,960.2
C003,1336.0,1772.6,1944.9,0.0,1955.2,1708.5,2119.5,1863.4,1391.9,1863.2,1726.6,2165.9,1926.3,1151.7,1758.3,1319.1,1335.5,1688.0,2209.0,1741.1,1513.9,1896.7,1994.9,1744.3,1415.8,1872.3,1342.1,1271.0,1806.5,1218.2,1940.2,1220.6,2152.4,1870.3,1975.6,1268.3,1928.5,1919.3,1363.0,1750.4,1971.2,1271.4,1923.6,1401.5,1343.9,1342.1,2037.6,1826.1,2223.1,2498.3,1925.5,1768.7,2092.3,1284.1,1345.6,1812.4,1517.3,1446.8,1837.8,791.7,1497.3,1532.3,1871.0,1551.3,1663.6,1848.5,719.3,1818.9,1394.3,1525.9,1884.8,1060.0,1857.5,1294.8,1779.8,1295.1,1486.1,1824.1,1170.4,1960.7,1589.2,1703.5,1529.5,1900.8,1343.2,1030.2,1699.4,2019.2,1938.6,1967.7,1449.3,1963.0,2040.9,1961.6,1694.0,1979.2,1290.0,1765.0,1325.3,1792.1,1857.9,2130.1,1007.7,1886.3,1739.4,2065.1,1299.6,1842.3,1714.8,1593.5,1589.2,1553.1,1947.6,1881.3,1891.2,1808.6,1889.9,2044.3,1651.2,1499.2,2030.7,1386.1,1639.5,1021.8,1779.0,1015.1,1985.5,1787.9,2085.6,1938.6,1791.9,1826.4,1749.0,2042.6,1687.8,1996.4,2083.8,1768.0,266.2,2198.7,1722.2,1779.1,1990.1,2043.8,2083.8,1394.3,1810.2,1925.7,1588.9,2131.8,1904.0,1843.3,1572.9,1177.4,168.5,1780.8,1186.3,2109.9,1625.6,1025.9,1959.7,1949.8,1318.6,1663.5,1238.3,2174.7,1735.1,1773.3,1822.1,1793.0,1556.5,1180.3,126.0,1959.2,982.2,1908.4,273.3,1921.9,1994.3,1704.9,1599.0
C004,963.4,644.1,246.2,1986.9,0.0,517.6,466.1,2328.3,741.9,1095.0,1158.6,558.7,310.7,876.5,885.6,853.2,1010.4,849.9,1269.6,921.9,1141.3,490.6,2459.8,838.4,994.9,520.2,969.5,969.3,1138.6,1024.2,814.9,2215.4,409.5,1038.0,1050.1,1137.2,1724.8,296.4,1173.1,629.1,407.5,1053.2,1234.3,1103.4,862.0,928.9,2502.5,1285.5,1818.5,2093.7,675.3,831.8,820.6,873.8,2340.4,1271.8,1091.1,1074.2,1893.8,1709.2,826.5,1159.7,1816.7,694.1,995.6,845.5,1629.6,1474.6,1021.7,1323.4,1254.1,1985.1,543.8,969.7,1111.9,938.8,922.3,779.0,952.2,1420.1,567.4,798.7,858.7,444.7,842.8,1955.3,804.4,1131.9,539.6,1764.0,1076.7,347.4,1636.3,1757.9,874.8,1091.9,964.5,679.9,925.1,779.3,554.9,1725.5,1932.8,1743.3,2204.3,261.4,854.1,851.7,516.6,459.1,770.0,1208.8,481.0,431.8,1048.5,796.9,1476.1,1318.6,502.1,696.3,1871.4,774.4,820.3,1946.9,437.3,1940.2,603.1,386.9,1681.0,1734.9,779.1,316.7,476.1,1147.9,868.6,1015.0,366.8,1645.1,1856.5,395.0,660.1,914.8,591.1,240.1,603.9,777.2,531.3,1410.4,614.7,1007.5,645.6,1499.0,815.0,866.1,1910.2,768.0,1584.5,1705.3,954.8,1951.0,986.6,1038.4,2313.4,419.1,833.1,2639.6,476.4,703.1,725.2,276.8,554.7,928.1,1989.3,989.0,1977.0,765.7,1874.5,2386.8,950.4,885.7,968.3
C005,711.1,185.8,513.2,1734.6,541.8,0.0,733.1,2360.1,489.6,1126.8,1070.4,825.7,454.6,624.2,785.7,600.9,758.1,596.7,1290.3,669.6,889.0,451.9,2491.6,751.0,739.5,481.5,717.2,717.0,1150.3,771.9,1018.5,1963.1,755.4,1069.8,1081.9,884.9,1756.6,487.6,920.8,425.0,476.4,800.9,1266.1,851.1,609.7,673.5,2534.3,1161.3,1850.3,2125.5,244.8,327.1,594.6,621.5,2088.1,1147.6,835.7,821.9,1925.6,1456.9,574.2,907.4,1848.5,438.7,685.3,806.8,1377.3,1222.3,769.4,1071.1,1001.8,1732.8,443.7,717.4,1123.6,686.5,670.0,716.3,699.9,1295.9,178.6,632.1,606.4,406.0,590.5,1703.0,299.7,1163.7,389.0,1795.8,824.4,491.3,1668.1,1789.7,622.5,1123.7,712.2,249.3,669.7,505.5,516.2,1757.3,1680.5,1775.1,2236.1,651.7,601.8,805.9,41.5,185.8,386.7,956.5,550.9,386.5,1080.3,292.2,1293.3,1350.4,132.6,320.4,1903.2,522.1,535.7,1694.6,257.8,1687.9,304.8,286.4,1712.8,1766.7,505.3,413.0,108.1,1179.7,584.0,1046.8,589.0,1676.9,1604.2,785.3,386.8,801.2,389.6,630.4,839.9,524.9,311.2,1286.2,315.4,1205.7,600.2,1246.7,559.6,613.8,1657.9,494.2,1332.2,1737.1,702.5,1698.7,1018.4,1070.2,2061.1,168.7,580.8,2671.4,236.3,272.5,586.2,379.6,246.0,675.8,1737.0,1020.8,1724.7,690.8,1622.2,2418.6,1033.0,633.4,716.0
C006,969.6,862.6,344.5,2145.8,435.3,746.8,0.0,1963.8,900.8,730.5,794.1,120.1,419.0,1035.4,506.0,1012.1,1018.5,593.4,905.1,1080.8,1033.5,452.5,2095.3,481.2,770.5,379.2,986.8,1128.2,774.1,1183.1,398.3,2374.3,112.6,673.5,685.6,1296.1,1360.3,394.7,1200.7,435.2,285.9,1207.1,869.8,1095.2,1020.7,878.0,2138.0,921.0,1454.0,1729.2,926.9,1009.2,1051.9,945.2,2499.3,907.3,842.7,979.9,1529.3,1868.1,985.4,986.1,1452.2,853.6,1154.5,481.7,1788.5,1150.5,932.8,1179.2,1413.0,2144.0,425.0,1074.2,747.4,986.4,1081.2,420.9,1111.1,1055.6,685.5,493.5,1017.6,405.8,1001.7,2114.2,981.8,767.4,821.4,1399.5,982.4,455.7,1271.8,1393.4,1033.7,727.4,919.4,898.4,861.6,652.7,302.5,1361.0,2091.7,1378.8,1839.8,468.5,1013.0,487.9,710.6,665.3,928.9,999.3,280.8,474.4,684.0,974.3,1111.6,954.1,720.6,851.6,1506.9,933.3,979.2,2105.8,683.0,2099.1,884.9,626.3,1316.5,1370.4,639.0,608.7,650.7,783.4,1027.5,639.8,191.1,1280.6,2015.4,602.1,395.3,598.5,872.9,338.4,154.6,936.1,576.7,1045.9,779.8,590.9,280.1,1174.9,729.2,1025.0,2069.1,595.7,1743.4,1340.8,1113.7,2109.9,622.1,673.9,2472.3,568.3,992.0,2275.1,610.5,921.6,426.8,568.8,612.6,1081.2,2148.2,624.5,2135.9,432.1,2033.4,2022.3,533.8,1044.6,1127.2
C007,1779.2,2410.4,2214.0,1768.3,2304.8,2346.3,1931.1,0.0,2060.7,1405.8,1400.8,1873.8,2188.3,1940.2,1659.2,1980.8,1700.2,1979.4,1988.7,2378.9,1594.5,2038.2,537.2,1665.4,1758.3,1962.2,1791.6,1910.1,1380.8,1850.3,1560.3,2762.0,2021.4,1346.5,1368.7,1875.2,912.6,2221.3,1665.5,2018.2,2055.2,1772.0,1375.1,1633.8,1985.3,1828.2,316.9,1364.7,1207.2,1482.4,2557.2,2406.5,2666.5,1872.4,2887.0,1378.4,1610.9,1561.8,821.9,2333.1,2181.0,1498.3,855.1,2150.2,2301.4,1697.2,2260.7,1394.5,1656.9,1503.8,2522.6,2601.4,2008.0,1842.6,1354.1,1816.3,2229.0,1745.2,1903.8,1547.3,2227.0,1840.1,2213.2,1988.7,2004.9,2571.6,2337.2,1385.5,2442.2,951.8,1595.1,2225.0,1025.0,945.7,2331.8,1379.7,1800.1,2402.8,1769.9,2048.8,1925.8,1114.2,2549.1,870.4,229.5,2338.0,1999.4,1691.0,2340.9,2231.3,2227.0,1451.7,1857.8,2159.2,1405.0,2446.4,1355.6,1198.1,2289.0,2137.0,1014.8,2130.6,2277.3,2563.2,2313.3,2556.5,2505.7,2256.6,1069.7,922.7,2035.1,2235.0,2281.0,1278.6,2325.6,1433.0,2084.0,752.1,1833.5,2471.6,2018.6,1775.1,2493.7,2207.9,1796.8,2133.5,2159.7,1291.9,2226.7,1524.9,1886.9,1418.9,1923.2,1896.6,1750.5,1991.8,2537.6,1094.0,2300.4,2567.3,1432.6,1413.1,2860.0,2198.6,2004.3,454.0,2193.4,2411.1,1865.6,2201.6,2175.5,1891.4,1765.9,1443.2,2523.6,1843.1,1821.8,444.6,1531.4,2342.7,2236.8
C008,389.8,535.1,707.4,1413.5,717.7,471.0,882.0,2055.4,0.0,936.2,808.7,1000.5,688.8,315.3,812.1,239.4,436.8,525.6,1262.8,505.6,567.7,659.2,2186.9,798.1,469.6,634.8,395.9,395.7,888.6,463.0,994.0,1642.0,914.9,924.1,1057.7,576.0,1451.9,681.8,611.9,512.9,733.7,484.8,1005.7,529.8,322.8,395.9,2229.6,908.2,1545.6,1820.8,688.0,533.2,856.8,300.2,1767.0,894.5,571.1,500.6,1620.9,1135.8,161.3,586.1,1543.8,357.9,357.1,861.2,1056.2,901.0,448.1,749.8,578.3,1411.7,620.0,396.1,861.9,365.2,279.0,796.7,391.0,1042.8,351.7,681.2,193.5,663.3,220.1,1381.9,463.9,1101.3,701.1,1491.1,503.1,725.5,1363.4,1485.0,458.5,1061.3,390.9,529.5,379.1,554.6,620.4,1452.6,1359.4,1470.4,1931.4,827.6,240.4,855.0,477.3,356.0,353.7,635.2,710.1,643.8,945.0,573.1,972.0,1126.4,413.7,393.7,1598.5,111.0,404.0,1373.5,541.5,1366.8,748.0,550.4,1408.1,1462.0,554.4,588.9,511.5,1124.7,452.3,1050.2,846.3,1372.2,1283.1,961.2,484.7,832.9,752.6,806.3,937.8,113.8,572.7,1007.8,351.4,1209.1,698.1,925.4,488.5,292.5,1336.8,543.3,1011.1,1432.4,289.6,1377.6,1013.5,1003.6,1740.0,426.0,271.9,2366.7,497.6,537.8,635.3,555.5,319.0,354.5,1415.9,1013.0,1403.6,779.8,1301.1,2113.9,1048.1,469.4,292.5
C009,664.8,1127.7,1000.9,1825.6,1091.7,1063.6,718.0,1370.6,946.3,0.0,150.9,660.7,975.2,819.6,446.1,835.0,585.8,662.0,789.9,1264.5,451.8,825.1,1502.1,452.3,523.0,749.1,677.2,795.7,123.4,735.9,347.2,2054.1,808.3,126.0,275.5,760.8,767.1,1008.2,557.5,805.1,842.1,651.4,247.8,510.1,801.8,659.1,1544.8,277.8,860.8,1136.0,1280.6,1292.1,1453.4,726.3,2179.1,264.1,405.1,447.4,936.1,1547.9,1066.6,388.5,859.0,865.2,1187.0,484.1,1468.3,522.0,542.5,536.0,1408.2,1823.8,794.9,728.2,96.7,701.9,1083.2,532.1,783.2,412.4,944.3,529.2,1098.8,775.6,859.1,1794.0,1222.8,343.4,1229.1,806.3,480.7,1011.9,678.6,800.2,1217.4,303.4,685.7,1163.5,632.1,721.3,712.7,767.8,1771.5,785.6,1246.6,1124.9,885.0,477.9,1069.9,956.6,1112.6,356.1,644.7,946.1,190.7,1328.0,483.1,360.9,1006.3,1022.6,913.7,989.7,1162.9,1785.6,1100.2,1778.9,1292.6,1043.5,723.3,777.2,707.6,1021.9,1067.9,366.8,1211.2,252.1,870.9,687.4,1695.2,1258.5,785.5,493.2,1280.6,994.8,583.7,1002.8,946.6,402.7,980.1,393.9,673.8,546.4,623.9,782.2,1748.9,664.3,1423.2,747.6,1186.0,1789.7,215.4,202.3,2152.1,985.5,889.9,1681.9,980.3,1186.7,620.2,988.5,907.1,777.0,1828.0,223.5,1815.7,630.0,1713.2,1429.1,332.6,1228.3,1122.4
