,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,9.597700000000001,15.7857,23.2467,15.6669,9.366200000000001,9.1652,25.7298,4.8938999999999995,6.1724,5.9799,9.4907,15.3086,2.5995999999999997,5.6682,2.4988,1.0997000000000001,4.567399999999999,7.6879,10.3459,2.8293000000000004,11.607299999999999,26.397599999999997,5.5186,2.0054000000000003,11.2356,6.673100000000001,3.2697,1.7058,21.2985,5.3282,10.7229,13.6839,7.3878,17.6066,7.166600000000001,7.0491,23.6348,11.1345,3.2016,28.9881,11.6279,10.2616,6.4082,13.5008,8.5227,1.583,22.7803,6.7736,18.9578,6.636100000000001,20.6202,25.4852,7.7776000000000005,9.825899999999999,7.3427
C001,10.2435,0.0,8.2799,30.7547,8.161100000000001,1.1095,7.8568,34.633,6.5926,11.677,11.4981,10.0067,5.8901,9.8219,8.3365,8.8565,9.9265,5.9152,11.0146,6.5342,11.7325,4.1267,35.3008,7.8347,7.5637,4.5074,15.5763,5.4676,8.842,28.8064,4.9125,18.230900000000002,22.5871,8.7534,25.1146,10.9728,11.5648,31.142799999999998,2.784,9.7392,37.8913,3.2774,1.6360999999999999,5.824,5.995100000000001,2.3171999999999997,9.4244,30.2883,10.997200000000001,26.465799999999998,7.053,28.1281,34.388400000000004,11.092,6.0142,6.9615
C002,16.432,8.1961,0.0,36.9432,3.0511,6.8674,4.194100000000001,30.786,12.7811,10.6908,11.834100000000001,4.9159,1.514,16.0104,8.5342,15.045,16.115,8.501299999999999,10.0953,15.165799999999999,17.9211,4.8622,31.4537,8.3947,10.9508,5.579899999999999,15.8393,11.2865,15.0305,34.995,8.5935,24.419400000000003,18.740099999999998,14.9419,31.303099999999997,9.644200000000001,10.2362,37.331300000000006,4.3146,15.927700000000002,34.0443,4.597899999999999,9.1166,7.1756,2.9648000000000003,7.6827,15.6129,36.476800000000004,9.6686,32.6543,7.0222,34.3167,30.541400000000003,8.883,14.6458,15.4586
C003,22.7565,28.7291,34.9171,0.0,34.798300000000005,28.4976,33.017300000000006,31.397599999999997,23.234599999999997,26.436700000000002,25.296799999999998,30.7757,34.44,19.784,26.953200000000002,21.5864,21.6742,25.8523,28.972900000000003,29.4773,24.2456,30.7387,32.065400000000004,26.8036,23.2904,30.367,25.99,24.5547,20.5003,1.7072,29.6952,17.4664,36.7575,25.4605,13.819,28.5828,28.4653,18.9916,30.266,20.5247,34.6559,30.7593,29.393,27.6932,32.6323,27.6541,20.464299999999998,0.9933,28.189400000000003,14.3145,27.9211,2.9309000000000003,31.153,29.0626,28.9573,26.4741
C004,16.3159,8.08,2.9571,36.8272,0.0,6.7513000000000005,5.5581000000000005,32.15,12.665,12.054799999999998,13.1981,6.2799,2.9453,15.8943,9.898200000000001,14.929,15.999,9.8445,11.459299999999999,15.049700000000001,17.805,5.472300000000001,32.817800000000005,9.6746,13.2665,6.1901,21.6487,11.170399999999999,14.9145,34.8789,10.827200000000001,24.3034,20.1041,14.825899999999999,31.187099999999997,11.0082,11.600200000000001,37.215300000000006,4.7749,15.8116,35.408300000000004,5.0582,9.0006,8.518799999999999,2.8488,7.5667,15.4969,36.360800000000005,11.0326,32.5382,8.3653,34.2006,31.9054,10.247,14.5297,15.342600000000001
C005,10.179200000000002,1.3497000000000001,6.0062,30.6904,6.1432,0.0,8.235100000000001,31.7385,6.5283,11.6433,11.4338,8.9569,4.8403,9.7576,8.272200000000002,8.792200000000001,9.862200000000001,5.850899999999999,10.950299999999999,8.913,11.668299999999999,4.6212,32.4063,7.7703999999999995,7.4994,5.339,15.512,5.4033999999999995,8.777700000000001,28.7422,4.8483,18.1666,19.6926,8.689200000000001,25.0503,10.5967,11.1887,31.078599999999998,1.7342,9.6749,34.9968,2.2275,2.8854,5.7597,3.9772,2.3337,9.360100000000001,30.224,10.6211,26.4015,5.3517,28.0639,31.4939,10.7159,8.393,9.2059
C006,8.9726,7.5309,3.9414000000000002,35.0848,5.279,8.4161,0.0,26.8972,10.9227,6.802,7.945399999999999,0.9107999999999999,4.4925,14.152,4.5764,13.1866,9.3832,5.6008000000000004,6.206600000000001,13.3074,9.5297,4.3401000000000005,27.565,4.4363,7.4302,3.2596999999999996,11.9506,6.8893,13.1721,33.1366,5.693,22.561,14.8514,13.0836,29.4447,5.7554,6.3475,35.4729,6.5651,14.0693,30.1556,6.1888000000000005,8.4514,3.6643000000000003,7.6244,5.5872,10.2815,34.6184,5.7798,30.795900000000003,3.6222,32.4583,26.6527,4.9532,12.7874,13.600299999999999
C007,25.6417,34.9171,31.1494,31.4061,32.487,34.6857,27.186799999999998,0.0,30.2134,21.4957,21.9001,26.740299999999998,30.2395,26.8562,24.5187,28.0092,25.038400000000003,26.846,24.947200000000002,35.6653,23.505,28.2181,5.3729,24.7377,24.5378,27.4113,21.317400000000003,26.331400000000002,26.6691,31.652099999999997,28.3607,34.0544,16.2394,32.7072,43.7438,21.752,21.6727,48.9163,30.5698,29.149099999999997,4.1772,30.0454,35.581,27.0231,30.5547,29.810299999999998,26.5408,30.8214,22.24,44.2393,26.2948,33.0517,3.6048,22.891299999999998,35.145300000000006,32.662099999999995
C008,5.3431999999999995,6.9826999999999995,13.1707,25.303900000000002,13.0519,6.7512,11.2709,29.7327,0.0,10.1753,9.982899999999999,12.1744,12.6936,3.7411999999999996,9.5399,2.4744,5.0263,4.4513,11.559700000000001,7.3614,6.8323,8.992299999999998,30.4005,9.3904,5.8771,8.6206,10.676,4.0037,3.9417,23.3556,7.9488,12.780100000000001,17.6869,2.5073000000000003,19.6638,11.1696,11.052,25.692,8.5196,3.6585,32.991099999999996,9.0129,7.277100000000001,8.8602,10.8859,5.9077,4.524100000000001,24.8375,10.7761,21.0149,10.0892,22.6773,29.4882,11.6494,6.841399999999999,3.1813000000000002
C009,6.6029,11.2087,10.6974,27.5394,12.0351,10.9772,6.7348,20.834,11.1746,0.0,1.233,6.288399999999999,9.787600000000001,6.8506,4.0668,8.2499,5.9996,6.672,5.0477,16.6266,3.5576999999999996,7.7661999999999995,21.5018,4.2858,4.581300000000001,6.9594,4.9306,6.2363,7.6303,25.591099999999997,6.7642,15.015600000000001,8.788200000000002,13.6684,21.8993,1.8149000000000002,1.2822,27.9275,10.117799999999999,10.110299999999999,24.0924,9.5935,12.1292,6.4008,10.102799999999998,9.0762,7.502,27.073,1.7883,23.250400000000003,5.8428,24.9128,20.5894,2.9918,16.1066,13.623299999999999
