,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,746.5,918.8,1334.4,929.1,682.4,977.8,1827.5,396.8,708.3,580.8,983.5,900.2,245.3,575.9,251.3,145.3,505.6,1026.6,715.0,339.8,870.6,1959.0,561.9,233.4,846.2,697.5,390.5,186.0,1257.7,607.2,932.0,1204.5,636.5,1298.5,785.6,775.7,1660.9,637.4,307.7,2138.8,709.0,747.2,639.7,766.9,530.4,185.6,1336.8,785.8,1324.5,726.0,1222.0,1886.0,811.9,678.8,572.9
C001,736.6,0.0,637.8,1760.1,648.1,182.7,864.1,2402.2,515.1,1156.0,1095.9,963.1,592.0,649.7,811.2,626.4,783.6,622.2,1315.8,595.1,914.5,563.0,2533.7,776.5,765.0,595.7,1272.2,585.1,639.3,1683.4,519.7,1357.7,1779.2,728.0,1724.2,1067.3,1119.1,2086.6,306.1,606.3,2713.5,373.7,166.3,611.7,485.9,274.9,701.3,1762.5,1069.7,1750.2,756.2,1647.7,2460.7,1081.9,558.9,705.5
C002,955.3,636.0,0.0,1978.8,255.1,509.5,359.4,2221.6,733.8,988.3,1051.9,452.0,133.8,868.4,778.9,845.1,1002.3,746.6,1162.9,913.8,1133.2,414.4,2353.1,732.6,972.4,444.0,1432.7,806.9,858.0,1902.1,748.9,1576.4,1598.6,946.7,1942.9,879.9,931.7,2305.3,348.8,825.0,2532.9,406.1,695.0,621.9,268.7,546.6,920.0,1981.2,882.3,1968.9,662.4,1866.4,2280.1,843.7,877.6,960.2
C003,1336.0,1772.6,1944.9,0.0,1955.2,1708.5,2119.5,1863.4,1391.9,1863.2,1726.6,2165.9,1926.3,1151.7,1758.3,1319.1,1335.5,1688.0,2209.0,1741.1,1513.9,1896.7,1994.9,1744.3,1415.8,1872.3,1843.3,1572.9,1177.4,168.5,1780.8,1186.3,2109.9,1625.6,1025.9,1959.7,1949.8,1318.6,1663.5,1238.3,2174.7,1735.1,1773.3,1822.1,1793.0,1556.5,1180.3,126.0,1959.2,982.2,1908.4,273.3,1921.9,1994.3,1704.9,1599.0
C004,963.4,644.1,246.2,1986.9,0.0,517.6,466.1,2328.3,741.9,1095.0,1158.6,558.7,310.7,876.5,885.6,853.2,1010.4,849.9,1269.6,921.9,1141.3,490.6,2459.8,838.4,994.9,520.2,1499.0,815.0,866.1,1910.2,768.0,1584.5,1705.3,954.8,1951.0,986.6,1038.4,2313.4,419.1,833.1,2639.6,476.4,703.1,725.2,276.8,554.7,928.1,1989.3,989.0,1977.0,765.7,1874.5,2386.8,950.4,885.7,968.3
C005,711.1,185.8,513.2,1734.6,541.8,0.0,733.1,2360.1,489.6,1126.8,1070.4,825.7,454.6,624.2,785.7,600.9,758.1,596.7,1290.3,669.6,889.0,451.9,2491.6,751.0,739.5,481.5,1246.7,559.6,613.8,1657.9,494.2,1332.2,1737.1,702.5,1698.7,1018.4,1070.2,2061.1,168.7,580.8,2671.4,236.3,272.5,586.2,379.6,246.0,675.8,1737.0,1020.8,1724.7,690.8,1622.2,2418.6,1033.0,633.4,716.0
C006,969.6,862.6,344.5,2145.8,435.3,746.8,0.0,1963.8,900.8,730.5,794.1,120.1,419.0,1035.4,506.0,1012.1,1018.5,593.4,905.1,1080.8,1033.5,452.5,2095.3,481.2,770.5,379.2,1174.9,729.2,1025.0,2069.1,595.7,1743.4,1340.8,1113.7,2109.9,622.1,673.9,2472.3,568.3,992.0,2275.1,610.5,921.6,426.8,568.8,612.6,1081.2,2148.2,624.5,2135.9,432.1,2033.4,2022.3,533.8,1044.6,1127.2
C007,1779.2,2410.4,2214.0,1768.3,2304.8,2346.3,1931.1,0.0,2060.7,1405.8,1400.8,1873.8,2188.3,1940.2,1659.2,1980.8,1700.2,1979.4,1988.7,2378.9,1594.5,2038.2,537.2,1665.4,1758.3,1962.2,1418.9,1923.2,1896.6,1750.5,1991.8,2537.6,1094.0,2300.4,2567.3,1432.6,1413.1,2860.0,2198.6,2004.3,454.0,2193.4,2411.1,1865.6,2201.6,2175.5,1891.4,1765.9,1443.2,2523.6,1843.1,1821.8,444.6,1531.4,2342.7,2236.8
C008,389.8,535.1,707.4,1413.5,717.7,471.0,882.0,2055.4,0.0,936.2,808.7,1000.5,688.8,315.3,812.1,239.4,436.8,525.6,1262.8,505.6,567.7,659.2,2186.9,798.1,469.6,634.8,925.4,488.5,292.5,1336.8,543.3,1011.1,1432.4,289.6,1377.6,1013.5,1003.6,1740.0,426.0,271.9,2366.7,497.6,537.8,635.3,555.5,319.0,354.5,1415.9,1013.0,1403.6,779.8,1301.1,2113.9,1048.1,469.4,292.5
C009,664.8,1127.7,1000.9,1825.6,1091.7,1063.6,718.0,1370.6,946.3,0.0,150.9,660.7,975.2,819.6,446.1,835.0,585.8,662.0,789.9,1264.5,451.8,825.1,1502.1,452.3,523.0,749.1,546.4,623.9,782.2,1748.9,664.3,1423.2,747.6,1186.0,1789.7,215.4,202.3,2152.1,985.5,889.9,1681.9,980.3,1186.7,620.2,988.5,907.1,777.0,1828.0,223.5,1815.7,630.0,1713.2,1429.1,332.6,1228.3,1122.4
