,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
DEPOT,0.0,746.5,918.8,1334.4,929.1,682.4,977.8,1827.5,396.8,708.3,580.8,983.5,900.2,245.3,575.9,251.3,145.3,505.6,1026.6,715.0,339.8,870.6,1959.0,561.9,233.4,846.2,76.6,220.9,660.7,411.9,757.8,1562.9,1046.6,696.2,829.8,524.9,1224.0,893.2,365.6,724.3,945.1,255.1,777.8,247.8,255.8,159.7,2001.7,680.3,1317.7,1592.9,899.4,697.5,390.5,186.0,1257.7,607.2,932.0,1204.5,636.5,1298.5,785.6,775.7,1660.9,637.4,307.7,2138.8,709.0,747.2,639.7,766.9,530.4,185.6,1336.8,785.8,1324.5,726.0,1222.0,1886.0,811.9,678.8,572.9
C001,736.6,0.0,637.8,1760.1,648.1,182.7,864.1,2402.2,515.1,1156.0,1095.9,963.1,592.0,649.7,811.2,626.4,783.6,622.2,1315.8,595.1,914.5,563.0,2533.7,776.5,765.0,595.7,742.7,742.5,1175.8,797.4,1047.0,1988.6,892.8,1118.7,1130.8,910.4,1798.7,612.2,946.3,495.0,613.8,826.4,1292.9,876.6,635.2,699.0,2576.4,1186.8,1892.4,2167.6,217.8,1272.2,585.1,639.3,1683.4,519.7,1357.7,1779.2,728.0,1724.2,1067.3,1119.1,2086.6,306.1,606.3,2713.5,373.7,166.3,611.7,485.9,274.9,701.3,1762.5,1069.7,1750.2,756.2,1647.7,2460.7,1081.9,558.9,705.5
C002,955.3,636.0,0.0,1978.8,255.1,509.5,359.4,2221.6,733.8,988.3,1051.9,452.0,133.8,868.4,778.9,845.1,1002.3,746.6,1162.9,913.8,1133.2,414.4,2353.1,732.6,972.4,444.0,961.4,961.2,1031.9,1016.1,708.2,2207.3,302.8,931.3,943.4,1129.1,1618.1,50.2,1165.0,528.7,230.6,1045.1,1127.6,1095.3,853.9,920.8,2395.8,1178.8,1711.8,1987.0,667.2,1432.7,806.9,858.0,1902.1,748.9,1576.4,1598.6,946.7,1942.9,879.9,931.7,2305.3,348.8,825.0,2532.9,406.1,695.0,621.9,268.7,546.6,920.0,1981.2,882.3,1968.9,662.4,1866.4,2280.1,843.7,877.6,960.2
C003,1336.0,1772.6,1944.9,0.0,1955.2,1708.5,2119.5,1863.4,1391.9,1863.2,1726.6,2165.9,1926.3,1151.7,1758.3,1319.1,1335.5,1688.0,2209.0,1741.1,1513.9,1896.7,1994.9,1744.3,1415.8,1872.3,1342.1,1271.0,1806.5,1218.2,1940.2,1220.6,2152.4,1870.3,1975.6,1268.3,1928.5,1919.3,1363.0,1750.4,1971.2,1271.4,1923.6,1401.5,1343.9,1342.1,2037.6,1826.1,2223.1,2498.3,1925.5,1843.3,1572.9,1177.4,168.5,1780.8,1186.3,2109.9,1625.6,1025.9,1959.7,1949.8,1318.6,1663.5,1238.3,2174.7,1735.1,1773.3,1822.1,1793.0,1556.5,1180.3,126.0,1959.2,982.2,1908.4,273.3,1921.9,1994.3,1704.9,1599.0
C004,963.4,644.1,246.2,1986.9,0.0,517.6,466.1,2328.3,741.9,1095.0,1158.6,558.7,310.7,876.5,885.6,853.2,1010.4,849.9,1269.6,921.9,1141.3,490.6,2459.8,838.4,994.9,520.2,969.5,969.3,1138.6,1024.2,814.9,2215.4,409.5,1038.0,1050.1,1137.2,1724.8,296.4,1173.1,629.1,407.5,1053.2,1234.3,1103.4,862.0,928.9,2502.5,1285.5,1818.5,2093.7,675.3,1499.0,815.0,866.1,1910.2,768.0,1584.5,1705.3,954.8,1951.0,986.6,1038.4,2313.4,419.1,833.1,2639.6,476.4,703.1,725.2,276.8,554.7,928.1,1989.3,989.0,1977.0,765.7,1874.5,2386.8,950.4,885.7,968.3
C005,711.1,185.8,513.2,1734.6,541.8,0.0,733.1,2360.1,489.6,1126.8,1070.4,825.7,454.6,624.2,785.7,600.9,758.1,596.7,1290.3,669.6,889.0,451.9,2491.6,751.0,739.5,481.5,717.2,717.0,1150.3,771.9,1018.5,1963.1,755.4,1069.8,1081.9,884.9,1756.6,487.6,920.8,425.0,476.4,800.9,1266.1,851.1,609.7,673.5,2534.3,1161.3,1850.3,2125.5,244.8,1246.7,559.6,613.8,1657.9,494.2,1332.2,1737.1,702.5,1698.7,1018.4,1070.2,2061.1,168.7,580.8,2671.4,236.3,272.5,586.2,379.6,246.0,675.8,1737.0,1020.8,1724.7,690.8,1622.2,2418.6,1033.0,633.4,716.0
C006,969.6,862.6,344.5,2145.8,435.3,746.8,0.0,1963.8,900.8,730.5,794.1,120.1,419.0,1035.4,506.0,1012.1,1018.5,593.4,905.1,1080.8,1033.5,452.5,2095.3,481.2,770.5,379.2,986.8,1128.2,774.1,1183.1,398.3,2374.3,112.6,673.5,685.6,1296.1,1360.3,394.7,1200.7,435.2,285.9,1207.1,869.8,1095.2,1020.7,878.0,2138.0,921.0,1454.0,1729.2,926.9,1174.9,729.2,1025.0,2069.1,595.7,1743.4,1340.8,1113.7,2109.9,622.1,673.9,2472.3,568.3,992.0,2275.1,610.5,921.6,426.8,568.8,612.6,1081.2,2148.2,624.5,2135.9,432.1,2033.4,2022.3,533.8,1044.6,1127.2
C007,1779.2,2410.4,2214.0,1768.3,2304.8,2346.3,1931.1,0.0,2060.7,1405.8,1400.8,1873.8,2188.3,1940.2,1659.2,1980.8,1700.2,1979.4,1988.7,2378.9,1594.5,2038.2,537.2,1665.4,1758.3,1962.2,1791.6,1910.1,1380.8,1850.3,1560.3,2762.0,2021.4,1346.5,1368.7,1875.2,912.6,2221.3,1665.5,2018.2,2055.2,1772.0,1375.1,1633.8,1985.3,1828.2,316.9,1364.7,1207.2,1482.4,2557.2,1418.9,1923.2,1896.6,1750.5,1991.8,2537.6,1094.0,2300.4,2567.3,1432.6,1413.1,2860.0,2198.6,2004.3,454.0,2193.4,2411.1,1865.6,2201.6,2175.5,1891.4,1765.9,1443.2,2523.6,1843.1,1821.8,444.6,1531.4,2342.7,2236.8
C008,389.8,535.1,707.4,1413.5,717.7,471.0,882.0,2055.4,0.0,936.2,808.7,1000.5,688.8,315.3,812.1,239.4,436.8,525.6,1262.8,505.6,567.7,659.2,2186.9,798.1,469.6,634.8,395.9,395.7,888.6,463.0,994.0,1642.0,914.9,924.1,1057.7,576.0,1451.9,681.8,611.9,512.9,733.7,484.8,1005.7,529.8,322.8,395.9,2229.6,908.2,1545.6,1820.8,688.0,925.4,488.5,292.5,1336.8,543.3,1011.1,1432.4,289.6,1377.6,1013.5,1003.6,1740.0,426.0,271.9,2366.7,497.6,537.8,635.3,555.5,319.0,354.5,1415.9,1013.0,1403.6,779.8,1301.1,2113.9,1048.1,469.4,292.5
C009,664.8,1127.7,1000.9,1825.6,1091.7,1063.6,718.0,1370.6,946.3,0.0,150.9,660.7,975.2,819.6,446.1,835.0,585.8,662.0,789.9,1264.5,451.8,825.1,1502.1,452.3,523.0,749.1,677.2,795.7,123.4,735.9,347.2,2054.1,808.3,126.0,275.5,760.8,767.1,1008.2,557.5,805.1,842.1,651.4,247.8,510.1,801.8,659.1,1544.8,277.8,860.8,1136.0,1280.6,546.4,623.9,782.2,1748.9,664.3,1423.2,747.6,1186.0,1789.7,215.4,202.3,2152.1,985.5,889.9,1681.9,980.3,1186.7,620.2,988.5,907.1,777.0,1828.0,223.5,1815.7,630.0,1713.2,1429.1,332.6,1228.3,1122.4
C010,538.1,1078.6,1061.1,1698.9,1151.9,1014.5,778.2,1345.2,819.6,154.4,0.0,720.9,1035.4,699.1,423.3,739.7,459.1,612.9,842.7,1137.8,358.8,864.7,1476.7,409.3,473.9,796.0,550.5,669.0,97.7,609.2,407.4,1927.4,868.5,193.6,266.8,634.1,741.7,1068.4,430.8,795.7,902.3,530.9,214.8,392.7,744.2,587.1,1519.4,151.1,835.4,1110.6,1231.5,419.7,574.8,655.5,1622.2,615.2,1296.5,722.2,1059.3,1663.0,283.0,260.2,2025.4,977.5,763.2,1656.5,1014.1,1137.6,571.1,1034.1,858.0,650.3,1701.3,290.3,1689.0,587.0,1586.5,1403.7,392.8,1101.6,995.7
C011,1000.2,927.7,404.3,2215.1,495.1,806.6,120.1,1906.2,1006.5,672.9,736.5,0.0,478.8,1120.1,459.1,1084.5,1014.7,712.3,847.5,1186.5,990.0,512.3,2037.7,465.3,801.1,459.4,1017.4,1181.7,716.5,1288.8,330.7,2443.6,179.8,615.9,628.0,1346.4,1302.7,454.5,1143.1,515.4,345.7,1187.8,812.2,1048.3,1051.3,908.6,2080.4,863.4,1396.4,1671.6,986.7,1117.3,848.1,1066.7,2138.4,714.6,1812.7,1283.2,1219.4,2179.2,564.5,616.3,2541.6,628.1,1097.7,2217.5,670.3,1007.1,533.2,628.6,718.3,1111.8,2217.5,566.9,2205.2,485.2,2102.7,1964.7,466.2,1150.3,1232.9
C012,923.2,573.7,130.2,1946.7,307.5,452.6,412.6,2208.0,701.7,974.7,1038.3,505.2,0.0,836.3,745.8,813.0,970.2,699.0,1149.3,881.7,1101.1,339.7,2339.5,687.5,924.8,369.3,929.3,929.1,1018.3,984.0,761.4,2175.2,433.0,917.7,929.8,1097.0,1604.5,104.6,1132.9,478.2,155.9,1013.0,1114.0,1063.2,821.8,888.7,2382.2,1150.6,1698.2,1973.4,632.7,1396.6,774.8,825.9,1870.0,701.3,1544.3,1585.0,914.6,1910.8,866.3,918.1,2273.2,274.1,792.9,2519.3,331.4,653.1,574.3,263.3,514.5,887.9,1949.1,868.7,1936.8,614.8,1834.3,2266.5,880.9,845.5,928.1
C013,309.4,681.2,853.5,1172.2,863.8,617.1,1028.1,1957.8,268.1,838.6,711.1,1110.1,834.9,0.0,702.5,227.0,299.4,630.0,1153.2,651.7,470.1,805.3,2089.3,688.5,360.0,780.9,289.9,225.0,791.0,234.6,884.4,1400.7,1061.0,826.5,960.1,347.6,1354.3,827.9,358.4,659.0,879.8,238.5,908.1,368.6,244.5,286.3,2132.0,810.6,1448.0,1723.2,834.1,827.8,517.1,157.4,1095.5,689.4,769.8,1334.8,501.8,1136.3,915.9,906.0,1498.7,572.1,124.2,2269.1,643.7,683.9,766.3,701.6,465.1,183.8,1174.6,922.8,1162.3,852.6,1059.8,2016.3,938.5,615.5,515.3
C014,595.2,815.3,793.8,1810.1,874.0,751.2,482.9,1616.7,853.1,383.4,430.6,426.5,737.5,715.1,0.0,679.5,609.7,441.6,558.0,1033.1,585.0,542.4,1748.2,60.3,396.1,473.0,612.4,776.7,427.0,887.9,263.1,2038.6,574.1,326.4,338.5,962.4,1013.2,770.5,777.3,480.3,615.7,782.8,522.7,643.3,646.3,503.6,1790.9,521.5,1106.9,1382.1,968.2,778.9,468.4,661.7,1733.4,443.9,1407.7,993.7,1066.0,1774.2,275.0,326.8,2136.6,708.8,777.5,1928.0,703.5,874.3,260.5,711.8,570.4,706.8,1812.5,277.4,1800.2,238.0,1697.7,1675.2,289.6,996.9,1040.2
C015,325.0,657.4,829.7,1340.5,840.0,593.3,1004.3,1973.4,232.1,819.4,726.7,1059.6,811.1,230.1,652.0,0.0,335.0,554.0,1106.8,627.9,485.7,781.5,2104.9,638.0,375.6,757.1,302.1,324.6,806.6,402.9,838.0,1569.0,1037.2,807.3,941.0,515.9,1369.9,804.1,526.7,635.2,856.0,406.8,923.7,430.3,165.3,232.2,2147.6,826.2,1463.6,1738.8,810.3,843.4,446.3,193.0,1263.8,655.6,938.1,1350.4,465.8,1304.6,877.5,886.8,1667.0,548.3,260.0,2284.7,619.9,660.1,715.8,677.8,441.3,278.3,1342.9,879.9,1330.6,802.1,1228.1,2031.9,892.1,591.7,479.3
C016,112.5,796.5,968.8,1351.2,979.1,732.4,1024.6,1700.8,446.8,581.6,454.1,1015.9,950.2,292.1,608.3,323.4,0.0,552.4,1023.5,765.0,213.1,920.6,1832.3,594.3,280.2,896.2,123.4,215.9,534.0,424.9,754.7,1579.7,1093.4,569.5,703.1,454.7,1097.3,943.2,292.3,774.3,995.1,199.0,651.1,127.9,327.0,206.5,1875.0,553.6,1191.0,1466.2,949.4,570.8,437.3,196.4,1274.5,654.0,948.8,1077.8,686.5,1315.3,658.9,649.0,1677.7,687.4,354.5,2012.1,759.0,797.2,686.5,816.9,580.4,191.2,1353.6,667.0,1341.3,772.0,1238.8,1759.3,776.1,728.8,622.9
C017,501.4,630.4,763.1,1716.3,821.0,566.3,592.1,1920.9,531.8,653.6,593.5,710.4,706.8,621.3,435.3,550.7,550.3,0.0,933.9,848.2,568.4,511.7,2052.4,400.6,302.3,443.0,518.6,682.9,673.4,794.1,665.1,1944.8,625.0,641.5,754.9,907.1,1317.4,739.8,775.1,420.7,585.0,731.5,790.5,632.4,514.8,398.8,2095.1,684.4,1411.1,1686.3,783.3,852.9,189.0,567.9,1639.6,167.0,1313.9,1297.9,771.5,1680.4,691.4,721.0,2042.8,529.3,683.7,2232.2,600.9,689.4,235.8,658.8,409.8,613.0,1718.7,693.8,1706.4,380.3,1603.9,1979.4,706.0,812.0,707.9
C018,690.0,949.7,808.0,1904.9,898.8,885.6,525.1,1553.5,966.8,320.2,383.8,467.8,782.3,809.9,214.8,792.0,680.2,576.0,0.0,1167.5,662.3,632.2,1685.0,193.3,490.9,556.2,707.2,871.5,363.8,968.8,153.1,2133.4,615.4,263.2,275.3,993.7,950.0,815.3,790.4,612.2,649.2,853.3,459.5,720.6,758.8,616.1,1727.7,510.7,1043.7,1318.9,1102.6,764.6,580.9,756.5,1828.2,578.3,1502.5,930.5,1200.4,1869.0,211.8,263.6,2231.4,792.6,872.3,1864.8,787.4,1008.7,394.9,795.6,704.8,801.6,1907.3,214.2,1895.0,371.0,1792.5,1612.0,226.4,1131.3,1142.9
C019,751.5,595.9,984.1,1775.2,994.4,669.2,1158.7,2417.1,592.8,1297.9,1170.4,1277.2,965.5,726.8,1110.7,647.6,798.5,901.3,1615.3,0.0,929.4,935.9,2548.6,1076.0,831.3,911.5,757.6,757.4,1250.3,861.4,1346.5,2003.7,1191.6,1285.8,1419.4,974.4,1813.6,958.5,984.9,789.6,1010.4,846.5,1367.4,891.5,650.1,757.6,2591.3,1269.9,1907.3,2182.5,707.3,1287.1,864.2,654.2,1698.5,819.2,1372.8,1794.1,613.5,1739.3,1366.8,1365.3,2101.7,702.7,688.4,2728.4,774.3,559.2,911.2,832.2,595.7,716.2,1777.6,1369.2,1765.3,1055.7,1662.8,2475.6,1381.4,36.2,488.3
C020,298.8,930.0,1102.3,1519.0,1112.6,865.9,1016.8,1593.9,580.3,476.9,351.4,960.4,1083.7,470.6,552.8,500.4,219.8,573.6,972.2,898.5,0.0,993.2,1725.4,538.8,299.3,924.5,311.2,429.7,431.3,484.7,687.7,1747.5,1091.4,466.5,600.4,505.2,990.4,1076.7,341.9,907.8,1066.5,312.6,548.4,171.3,504.9,347.8,1768.1,450.9,1084.1,1359.3,1082.9,463.9,514.9,416.2,1442.3,675.2,1116.6,970.9,820.0,1483.1,555.9,546.0,1845.5,820.9,523.9,1905.2,892.5,930.7,699.6,950.4,713.9,411.0,1521.4,564.0,1509.1,716.5,1406.6,1652.4,673.1,862.3,756.4
C021,920.4,561.2,394.7,1943.9,472.6,450.0,440.5,2048.8,698.9,815.5,860.6,538.2,336.1,833.5,546.7,810.2,967.4,499.9,990.1,878.9,988.7,0.0,2180.3,488.4,725.7,170.2,926.5,926.3,859.1,981.2,707.2,2172.4,463.8,758.5,770.6,1094.2,1445.3,369.1,1130.1,209.5,240.0,1010.2,954.8,1060.4,819.0,832.3,2223.0,951.5,1539.0,1814.2,666.0,1197.5,635.7,823.1,1867.2,502.2,1541.5,1425.8,911.8,1908.0,707.1,758.9,2270.4,307.4,790.1,2360.1,302.7,620.2,375.2,310.4,415.7,885.1,1946.3,709.5,1934.0,415.7,1831.5,2107.3,721.7,842.7,925.3
C022,1912.1,2543.3,2346.9,1901.2,2437.7,2479.2,2064.0,544.3,2193.6,1538.7,1533.7,2006.7,2321.2,2073.1,1792.1,2113.7,1833.1,2112.3,2121.6,2511.8,1727.4,2171.1,0.0,1798.3,1891.2,2095.1,1924.5,2043.0,1513.7,1983.2,1693.2,2894.9,2154.3,1479.4,1501.6,2008.1,1045.5,2354.2,1798.4,2151.1,2188.1,1904.9,1508.0,1766.7,2118.2,1961.1,718.5,1497.6,1340.1,1615.3,2690.1,1551.8,2056.1,2029.5,1883.4,2124.7,2670.5,1226.9,2433.3,2700.2,1565.5,1546.0,2992.9,2331.5,2137.2,855.6,2326.3,2544.0,1998.5,2334.5,2308.4,2024.3,1898.8,1576.1,2656.5,1976.0,1954.7,451.9,1664.3,2475.6,2369.7
C023,572.6,775.5,733.5,1787.5,813.7,711.4,479.3,1656.1,813.3,422.8,408.0,465.9,677.2,692.5,58.3,656.9,587.1,401.8,561.5,993.3,562.4,482.1,1787.6,0.0,373.5,412.7,589.8,754.1,466.4,865.3,292.7,2016.0,552.6,365.8,377.9,939.8,1052.6,710.2,754.7,420.0,555.4,760.2,562.1,620.7,623.7,481.0,1830.3,498.9,1146.3,1421.5,928.4,756.3,445.8,639.1,1710.8,404.1,1385.1,1033.1,1026.2,1751.6,314.4,366.2,2114.0,648.5,754.9,1967.4,643.8,834.5,220.7,651.5,530.6,684.2,1789.9,316.8,1777.6,177.7,1675.1,1714.6,329.0,957.1,1017.6
C024,242.8,822.2,996.5,1457.7,1006.8,743.4,791.8,1754.0,520.1,533.8,473.7,797.5,942.4,362.7,389.9,373.3,291.7,341.6,830.3,838.3,326.2,747.3,1885.5,375.9,0.0,678.6,260.0,424.3,553.6,535.5,561.5,1686.2,860.6,521.7,664.5,648.5,1150.5,970.9,529.9,678.3,820.6,486.3,670.7,387.2,377.8,196.8,1928.2,564.6,1244.2,1519.4,975.1,624.0,285.4,309.3,1381.0,443.2,1055.3,1131.0,759.8,1421.8,601.0,601.2,1784.2,715.1,425.1,2065.3,786.7,870.5,453.7,844.6,623.4,354.4,1460.1,603.4,1447.8,540.0,1345.3,1812.5,615.6,802.1,696.2
