algorithm,seed,cost,feasible,distance_km,travel_time_h,charging_time_h,energy_kwh,charging_cost_usd,battery_violation_kwh,infeasible_visits,runtime_s
Greedy,0,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,1,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,2,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,3,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,4,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,5,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,6,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,7,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,8,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,9,3.596902,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Simulated Annealing,0,2.504404,True,258.5214,7.4707,0.4748,77.7045,9.7342,0.000000,0,7.8394
Simulated Annealing,1,2.561658,True,264.8818,7.5719,0.2755,79.9058,10.5700,0.000000,0,7.8284
Simulated Annealing,2,2.595297,True,275.4922,7.8771,0.3086,83.0191,9.0271,0.000000,0,7.7397
Simulated Annealing,3,2.535766,True,268.5394,7.6646,0.3331,80.9977,8.8993,0.000000,0,7.8203
Simulated Annealing,4,2.560681,True,274.5551,7.9978,0.3157,79.1592,8.6707,0.000000,0,7.8321
Simulated Annealing,5,2.556955,True,261.3524,7.5174,0.4318,78.1908,10.8457,0.000000,0,7.8380
Simulated Annealing,6,2.589650,True,278.1503,7.9852,0.3037,81.0914,8.8108,0.000000,0,7.7027
Simulated Annealing,7,2.613212,True,272.9020,7.8491,0.5050,81.1045,9.7230,0.000000,0,7.7859
Simulated Annealing,8,2.511757,True,268.8861,7.7763,0.3220,79.1761,8.3449,0.000000,0,7.7108
Simulated Annealing,9,2.581256,True,269.9281,7.7547,0.5055,80.8865,9.3775,0.000000,0,7.7934
Genetic Algorithm,0,2.855606,True,272.4806,7.6967,0.6040,87.0900,15.3030,0.000000,0,25.2581
Genetic Algorithm,1,2.875346,True,292.5104,8.1886,0.4376,93.5610,11.8720,0.000000,0,38.5924
Genetic Algorithm,2,3.036300,True,284.3637,7.9056,0.4250,96.2530,17.2091,0.000000,0,53.3600
Genetic Algorithm,3,2.986290,True,293.6752,8.1357,0.6371,100.1943,12.9780,0.000000,0,48.0186
Genetic Algorithm,4,3.118197,True,311.5742,8.7662,0.6365,97.8405,14.0305,0.000000,0,40.9100
Genetic Algorithm,5,3.224040,True,311.0988,8.5547,0.7242,103.5919,16.0500,0.000000,0,29.3463
Genetic Algorithm,6,2.821789,True,273.6729,7.7246,0.3981,88.6381,14.3874,0.000000,0,33.4455
Genetic Algorithm,7,3.103077,True,306.8174,8.4289,0.6641,103.0644,13.6471,0.000000,0,44.9133
Genetic Algorithm,8,3.281579,True,309.6186,8.5223,0.6376,102.5677,18.3242,0.000000,0,43.4073
Genetic Algorithm,9,3.161853,True,301.2649,8.3209,0.4445,99.2769,17.4720,0.000000,0,38.1291
Memetic Algorithm,0,2.787016,True,288.5902,8.2166,0.5240,89.1901,10.4160,0.000000,0,12.7947
Memetic Algorithm,1,2.747538,True,283.7216,8.0489,0.5381,86.9188,10.6398,0.000000,0,11.9624
Memetic Algorithm,2,2.753976,True,282.0263,8.0740,0.4402,84.5429,11.6900,0.000000,0,9.2131
Memetic Algorithm,3,2.759408,True,283.9015,7.9973,0.5380,89.6400,10.4789,0.000000,0,13.0976
Memetic Algorithm,4,2.758368,True,285.6250,8.0294,0.5555,89.4534,10.2178,0.000000,0,11.9872
Memetic Algorithm,5,2.749886,True,287.8285,8.0878,0.3773,89.1102,10.1967,0.000000,0,11.8930
Memetic Algorithm,6,2.577335,True,265.2879,7.6275,0.5406,80.3622,10.0149,0.000000,0,11.9358
Memetic Algorithm,7,2.720105,True,279.8802,7.9612,0.5225,87.1006,10.4265,0.000000,0,12.4605
Memetic Algorithm,8,2.682192,True,272.2366,7.9272,0.4857,82.3494,11.2623,0.000000,0,10.1033
Memetic Algorithm,9,2.665617,True,272.5525,7.7939,0.5450,83.0076,10.8230,0.000000,0,11.5513
ACO,0,2.720559,True,273.3762,7.6945,0.5926,86.5658,11.6206,0.000000,0,54.4716
ACO,1,2.666794,True,273.3675,7.7141,0.5304,83.5733,10.9124,0.000000,0,54.0241
ACO,2,2.672095,True,274.4158,7.7484,0.5309,83.5602,10.8839,0.000000,0,54.4624
ACO,3,2.746421,True,273.0605,7.6588,0.5322,87.0692,12.5100,0.000000,0,55.1041
ACO,4,2.727000,True,274.6474,7.7639,0.5905,86.2539,11.5863,0.000000,0,53.9712
ACO,5,2.752425,True,277.1752,7.7839,0.5989,87.5165,11.7252,0.000000,0,54.7120
ACO,6,2.726667,True,273.9770,7.7112,0.5940,86.7812,11.6443,0.000000,0,54.2111
ACO,7,2.741089,True,272.0520,7.6166,0.5340,87.2204,12.5181,0.000000,0,54.0392
ACO,8,2.679718,True,275.2936,7.7897,0.5315,83.6450,10.8932,0.000000,0,53.8022
ACO,9,2.672162,True,274.5211,7.7424,0.5311,83.5862,10.8868,0.000000,0,52.9832
