algorithm,battery_capacity_kwh,avg_runtime_s,avg_cost,feasible_pct
Simulated Annealing,5,6.0135,4376.9143,0.0
Simulated Annealing,8,1.8684,3.2456,100.0
Simulated Annealing,10,2.0061,2.9538,100.0
Simulated Annealing,12,1.5362,2.8283,100.0
Simulated Annealing,15,1.4468,2.6877,100.0
Simulated Annealing,18,1.4187,2.7157,100.0
Simulated Annealing,20,1.4244,2.6797,100.0
Genetic Algorithm,5,63.6600,24542.7306,0.0
Genetic Algorithm,8,71.1413,12268.1180,0.0
Genetic Algorithm,10,94.8814,4162.1930,33.3
Genetic Algorithm,12,115.3582,1403.9797,66.7
Genetic Algorithm,15,20.1800,3.4633,100.0
Genetic Algorithm,18,13.5233,3.9591,100.0
Genetic Algorithm,20,9.6060,3.0605,100.0
Memetic Algorithm,5,7.5790,7305.5243,0.0
Memetic Algorithm,8,12.3049,551.1068,33.3
Memetic Algorithm,10,9.7904,656.3439,66.7
Memetic Algorithm,12,10.4610,3.2176,100.0
Memetic Algorithm,15,8.8967,3.0877,100.0
Memetic Algorithm,18,11.5916,2.8484,100.0
Memetic Algorithm,20,4.6304,2.9037,100.0
ACO,5,12.9983,28820.6290,0.0
ACO,8,13.8597,15526.9150,0.0
ACO,10,14.6053,3.0395,100.0
ACO,12,14.4591,3.0788,100.0
ACO,15,14.2745,2.7854,100.0
ACO,18,13.7711,2.7247,100.0
ACO,20,12.4452,2.6468,100.0
