algorithm,n_customers,avg_runtime_s,avg_cost
Simulated Annealing,25,0.6752,1.8493
Simulated Annealing,50,1.1688,2.4298
Simulated Annealing,75,1.6179,2.8765
Simulated Annealing,100,2.1636,3.5490
Simulated Annealing,150,3.0149,4.8706
Simulated Annealing,200,3.9966,4.8749
Simulated Annealing,300,6.0006,5.7221
Simulated Annealing,400,8.1663,8.0278
Simulated Annealing,500,9.8522,7.3298
Genetic Algorithm,25,2.7179,2.2733
Genetic Algorithm,50,8.5964,3.8259
Genetic Algorithm,75,20.7737,3.1951
Genetic Algorithm,100,29.2145,9.0284
Genetic Algorithm,150,52.7245,10.6138
Genetic Algorithm,200,150.4066,4.7882
Genetic Algorithm,300,453.9883,5.6790
Genetic Algorithm,400,348.7110,12.7068
Genetic Algorithm,500,841.3619,7.3246
Memetic Algorithm,25,0.9479,2.2363
Memetic Algorithm,50,1.8084,3.2166
Memetic Algorithm,75,2.7387,2.9318
Memetic Algorithm,100,4.7317,6.6908
Memetic Algorithm,150,11.2948,4.3536
Memetic Algorithm,200,10.0145,4.4278
Memetic Algorithm,300,17.9260,5.1784
Memetic Algorithm,400,26.5223,5.8894
Memetic Algorithm,500,38.2958,6.6957
ACO,25,4.1879,2.1454
ACO,50,7.5334,2.6804
ACO,75,11.2849,2.7327
ACO,100,14.3353,3.0707
ACO,150,22.8097,3.5165
ACO,200,30.9021,3.9356
ACO,300,50.5076,4.6961
ACO,400,68.5873,5.1555
ACO,500,92.7819,5.7177
