n_ants,alpha,beta,rho,q0,battery_threshold_frac,local_search_iters,candidate_list_k,mean_cost,seed_costs
30,0.5,6.0,0.15,0.85,0.2,10,0,2.805855524225306,"[np.float64(2.821581699746071), np.float64(2.790129348704541)]"
30,2.0,6.0,0.3,0.85,0.2,10,15,2.7908946668390784,"[np.float64(2.7146316232434007), np.float64(2.867157710434756)]"
20,2.0,4.0,0.05,0.75,0.2,0,0,2.849648317314874,"[np.float64(2.8119011820459603), np.float64(2.887395452583788)]"
30,2.0,4.0,0.15,0.75,0.4,0,0,2.866126664563535,"[np.float64(2.8559090821821616), np.float64(2.876344246944908)]"
10,2.0,2.0,0.05,0.85,0.2,0,15,2.8812514799045665,"[np.float64(2.9245183190301076), np.float64(2.837984640779025)]"
10,2.0,6.0,0.05,0.95,0.2,10,0,2.898196689494802,"[np.float64(2.898196689494802), np.float64(2.898196689494802)]"
20,1.0,6.0,0.05,0.75,0.4,0,15,2.726574454186632,"[np.float64(2.733581969071089), np.float64(2.719566939302175)]"
20,1.0,6.0,0.05,0.95,0.2,0,0,2.8999669311058893,"[np.float64(2.8548689918339694), np.float64(2.945064870377809)]"
20,1.0,4.0,0.05,0.85,0.4,10,0,2.7861622003789033,"[np.float64(2.776537826822088), np.float64(2.7957865739357186)]"
20,0.5,2.0,0.3,0.95,0.2,10,15,2.8113711868229183,"[np.float64(2.8299945066478616), np.float64(2.7927478669979755)]"
30,1.0,2.0,0.15,0.95,0.4,10,0,2.7868777077745515,"[np.float64(2.7578664460488005), np.float64(2.815888969500302)]"
30,1.0,6.0,0.15,0.75,0.2,0,0,2.7724029784122903,"[np.float64(2.7888474554432405), np.float64(2.7559585013813397)]"
10,1.0,2.0,0.05,0.75,0.2,10,0,2.7406624773753734,"[np.float64(2.7460834141424986), np.float64(2.735241540608248)]"
30,0.5,6.0,0.15,0.85,0.2,0,0,2.772023770580314,"[np.float64(2.7523692101793316), np.float64(2.7916783309812963)]"
30,2.0,4.0,0.05,0.95,0.4,0,0,2.831607541134808,"[np.float64(2.851528784736602), np.float64(2.8116862975330146)]"
30,0.5,4.0,0.3,0.95,0.2,10,0,2.794731565392472,"[np.float64(2.781838914660237), np.float64(2.807624216124707)]"
20,1.0,2.0,0.15,0.85,0.4,0,15,2.7222355160149414,"[np.float64(2.73757273077728), np.float64(2.7068983012526027)]"
30,1.0,4.0,0.15,0.95,0.4,10,15,2.7909501162565657,"[np.float64(2.7755547870437343), np.float64(2.806345445469397)]"
20,2.0,2.0,0.3,0.95,0.4,10,15,2.781362317749214,"[np.float64(2.8156274995204584), np.float64(2.74709713597797)]"
30,2.0,4.0,0.15,0.85,0.2,10,15,2.8262887467483977,"[np.float64(2.847848014188698), np.float64(2.8047294793080972)]"
20,2.0,4.0,0.05,0.75,0.4,0,0,2.8038256380459132,"[np.float64(2.8261218261277445), np.float64(2.781529449964082)]"
20,2.0,4.0,0.15,0.85,0.4,10,15,2.82562306227842,"[np.float64(2.859780852190883), np.float64(2.791465272365957)]"
30,2.0,6.0,0.05,0.95,0.2,0,15,2.998967878287721,"[np.float64(3.001122256831965), np.float64(2.996813499743477)]"
10,2.0,4.0,0.3,0.85,0.2,0,0,2.9503158853255735,"[np.float64(2.915346772167248), np.float64(2.985284998483899)]"
20,2.0,4.0,0.05,0.85,0.2,10,15,2.7871762569293645,"[np.float64(2.770614800875316), np.float64(2.803737712983413)]"
10,2.0,6.0,0.15,0.85,0.2,0,0,2.9214626868465907,"[np.float64(2.9634111417301616), np.float64(2.87951423196302)]"
10,0.5,6.0,0.3,0.95,0.4,0,0,2.693800087615135,"[np.float64(2.720558862070649), np.float64(2.6670413131596207)]"
10,2.0,2.0,0.05,0.85,0.4,0,0,2.86528558075483,"[np.float64(2.8940705011616314), np.float64(2.8365006603480287)]"
10,1.0,4.0,0.05,0.75,0.2,0,0,2.768326455060503,"[np.float64(2.7728945374472307), np.float64(2.763758372673775)]"
10,0.5,2.0,0.15,0.75,0.4,10,15,2.7508828493725606,"[np.float64(2.756998054741352), np.float64(2.744767644003769)]"
