population_size,crossover_rate,mutation_rate,tournament_size,elitism_count,mean_cost,seed_costs
200,0.85,0.25,4,1,3.2046140654969824,"[np.float64(3.2690022180753724), np.float64(3.1402259129185928)]"
200,0.75,0.05,4,1,3.2741763217936404,"[np.float64(3.348870829453068), np.float64(3.199481814134213)]"
200,0.95,0.15,2,1,3.5362869648569966,"[np.float64(3.5315529985834075), np.float64(3.541020931130586)]"
100,0.75,0.05,4,5,3.327546048236386,"[np.float64(3.3626383147747223), np.float64(3.2924537816980495)]"
40,0.75,0.15,2,1,3.2732240630658684,"[np.float64(3.2498964476928287), np.float64(3.296551678438908)]"
40,0.75,0.25,4,5,3.18161415969424,"[np.float64(3.2034700243949827), np.float64(3.1597582949934977)]"
40,0.75,0.15,2,3,3.2945503581250652,"[np.float64(3.3622035686738707), np.float64(3.22689714757626)]"
200,0.75,0.15,4,3,3.216777086935634,"[np.float64(3.329882358784652), np.float64(3.1036718150866154)]"
200,0.75,0.05,2,1,3.503650285901669,"[np.float64(3.5068132453444756), np.float64(3.5004873264588623)]"
40,0.95,0.05,2,5,3.327993799214943,"[np.float64(3.3355735623636553), np.float64(3.3204140360662304)]"
200,0.85,0.25,2,5,3.1683482062780217,"[np.float64(3.3155928754637944), np.float64(3.021103537092249)]"
40,0.75,0.05,4,1,3.2108182810708157,"[np.float64(3.1759992266872614), np.float64(3.24563733545437)]"
200,0.85,0.15,4,3,2.980676043639505,"[np.float64(3.0687346055197304), np.float64(2.892617481759279)]"
40,0.95,0.05,2,1,3.3332626995933445,"[np.float64(3.384150905177668), np.float64(3.282374494009021)]"
100,0.85,0.05,2,3,3.2569750031612354,"[np.float64(3.3553963461966143), np.float64(3.158553660125856)]"
200,0.75,0.15,4,3,3.216777086935634,"[np.float64(3.329882358784652), np.float64(3.1036718150866154)]"
200,0.75,0.05,2,1,3.503650285901669,"[np.float64(3.5068132453444756), np.float64(3.5004873264588623)]"
40,0.95,0.05,2,5,3.327993799214943,"[np.float64(3.3355735623636553), np.float64(3.3204140360662304)]"
200,0.85,0.25,2,5,3.1683482062780217,"[np.float64(3.3155928754637944), np.float64(3.021103537092249)]"
40,0.75,0.05,4,1,3.2108182810708157,"[np.float64(3.1759992266872614), np.float64(3.24563733545437)]"
200,0.85,0.15,4,3,2.980676043639505,"[np.float64(3.0687346055197304), np.float64(2.892617481759279)]"
40,0.95,0.05,2,1,3.3332626995933445,"[np.float64(3.384150905177668), np.float64(3.282374494009021)]"
100,0.85,0.05,2,3,3.2569750031612354,"[np.float64(3.3553963461966143), np.float64(3.158553660125856)]"
200,0.75,0.15,4,3,3.216777086935634,"[np.float64(3.329882358784652), np.float64(3.1036718150866154)]"
200,0.75,0.05,2,1,3.503650285901669,"[np.float64(3.5068132453444756), np.float64(3.5004873264588623)]"
40,0.95,0.05,2,5,3.327993799214943,"[np.float64(3.3355735623636553), np.float64(3.3204140360662304)]"
200,0.85,0.25,2,5,3.1683482062780217,"[np.float64(3.3155928754637944), np.float64(3.021103537092249)]"
40,0.75,0.05,4,1,3.2108182810708157,"[np.float64(3.1759992266872614), np.float64(3.24563733545437)]"
200,0.85,0.15,4,3,2.980676043639505,"[np.float64(3.0687346055197304), np.float64(2.892617481759279)]"
40,0.95,0.05,2,1,3.3332626995933445,"[np.float64(3.384150905177668), np.float64(3.282374494009021)]"
