population_size,crossover_rate,mutation_rate,tournament_size,elitism_count,local_search_iters,mean_cost,seed_costs
100,0.85,0.05,2,3,15,3.3253983344050875,"[np.float64(3.175566820789471), np.float64(3.475229848020704)]"
200,0.75,0.15,4,5,5,2.897864227711689,"[np.float64(2.895508968623368), np.float64(2.90021948680001)]"
40,0.95,0.15,4,3,30,3.2689810468911915,"[np.float64(3.328734004839243), np.float64(3.2092280889431395)]"
200,0.95,0.15,4,1,30,3.3898854839634596,"[np.float64(3.578936964293057), np.float64(3.200834003633862)]"
40,0.95,0.25,4,5,5,3.141625910208101,"[np.float64(3.155359261653), np.float64(3.1278925587632016)]"
200,0.95,0.25,2,5,5,3.5010053794545097,"[np.float64(3.527392793256264), np.float64(3.4746179656527554)]"
40,0.95,0.05,4,3,15,3.0346441083673277,"[np.float64(2.8567337905099643), np.float64(3.212554426224691)]"
40,0.75,0.15,4,3,5,2.89351576572811,"[np.float64(2.9565655430749866), np.float64(2.830465988381234)]"
100,0.85,0.15,4,3,5,2.9407209043337907,"[np.float64(2.9885863261247354), np.float64(2.8928554825428456)]"
100,0.75,0.25,4,3,5,2.9134490655560876,"[np.float64(2.8379373916095485), np.float64(2.9889607395026263)]"
100,0.75,0.25,2,3,5,3.0961783772387603,"[np.float64(2.99419566569631), np.float64(3.1981610887812106)]"
40,0.75,0.15,2,1,30,3.2199276685803335,"[np.float64(3.1638314567977224), np.float64(3.2760238803629447)]"
40,0.85,0.05,4,1,15,3.0503582223172785,"[np.float64(3.0754607079948144), np.float64(3.0252557366397426)]"
100,0.85,0.25,4,5,5,3.0215082536462403,"[np.float64(3.0113588930556823), np.float64(3.0316576142367984)]"
40,0.85,0.05,4,5,5,3.061584036495738,"[np.float64(3.003600379140417), np.float64(3.119567693851059)]"
40,0.95,0.05,4,1,30,3.0780298591982653,"[np.float64(3.1508496284962355), np.float64(3.005210089900295)]"
200,0.75,0.25,2,1,30,3.487272034640873,"[np.float64(3.39560710498869), np.float64(3.578936964293057)]"
100,0.95,0.05,4,5,5,3.142427994394252,"[np.float64(3.0391498652568107), np.float64(3.245706123531693)]"
200,0.75,0.15,4,3,15,3.2763175639163515,"[np.float64(3.2584774821092592), np.float64(3.294157645723444)]"
40,0.75,0.15,2,1,5,3.1697740526961873,"[np.float64(3.2080224548675367), np.float64(3.1315256505248383)]"
100,0.75,0.05,2,3,30,3.4412060717272213,"[np.float64(3.5441267060576003), np.float64(3.3382854373968422)]"
100,0.75,0.15,2,3,5,3.1130863051503606,"[np.float64(3.1652700286031705), np.float64(3.0609025816975506)]"
100,0.75,0.05,4,5,30,3.157157894817098,"[np.float64(3.1077956085514513), np.float64(3.2065201810827446)]"
40,0.95,0.15,2,5,30,3.352367118861463,"[np.float64(3.276469650871318), np.float64(3.4282645868516086)]"
40,0.85,0.15,2,5,30,3.133876848880373,"[np.float64(3.349181434580742), np.float64(2.9185722631800037)]"
40,0.95,0.15,4,1,30,3.225779822504051,"[np.float64(3.3709685047813363), np.float64(3.080591140226766)]"
40,0.85,0.05,2,3,15,3.056561139296832,"[np.float64(3.05330935280876), np.float64(3.059812925784904)]"
40,0.75,0.15,4,3,5,2.89351576572811,"[np.float64(2.9565655430749866), np.float64(2.830465988381234)]"
100,0.85,0.15,4,3,5,2.9407209043337907,"[np.float64(2.9885863261247354), np.float64(2.8928554825428456)]"
100,0.75,0.25,4,3,5,2.9134490655560876,"[np.float64(2.8379373916095485), np.float64(2.9889607395026263)]"
