initial_temperature,cooling_rate,iterations_per_temperature,reheat_patience,reheat_factor,mean_cost,seed_costs
1.5,0.995,50,250,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.1,0.997,20,100,0.2,2.649197602191868,"[np.float64(2.6702877675564456), np.float64(2.62810743682729)]"
0.1,0.995,50,250,0.2,2.593360314714352,"[np.float64(2.5403159785672735), np.float64(2.64640465086143)]"
0.1,0.997,100,500,0.2,3.481968791282598,"[np.float64(3.5167895582488424), np.float64(3.4471480243163533)]"
0.5,0.995,100,100,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
1.5,0.993,20,500,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.995,50,100,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.1,0.997,100,100,0.2,3.007041036670323,"[np.float64(2.8788963907319434), np.float64(3.135185682608703)]"
1.5,0.997,50,500,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.993,100,250,0.2,3.5459646204162687,"[np.float64(3.495027241304702), np.float64(3.5969019995278355)]"
0.1,0.997,100,500,0.4,3.481968791282598,"[np.float64(3.5167895582488424), np.float64(3.4471480243163533)]"
0.5,0.995,100,100,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
1.5,0.993,20,500,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.995,50,100,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.1,0.997,100,100,0.2,3.007041036670323,"[np.float64(2.8788963907319434), np.float64(3.135185682608703)]"
1.5,0.997,50,500,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.993,100,250,0.2,3.5459646204162687,"[np.float64(3.495027241304702), np.float64(3.5969019995278355)]"
0.1,0.997,100,500,0.4,3.481968791282598,"[np.float64(3.5167895582488424), np.float64(3.4471480243163533)]"
0.5,0.995,100,100,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
1.5,0.993,20,500,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.995,50,100,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.1,0.997,100,100,0.2,3.007041036670323,"[np.float64(2.8788963907319434), np.float64(3.135185682608703)]"
1.5,0.997,50,500,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.993,100,250,0.2,3.5459646204162687,"[np.float64(3.495027241304702), np.float64(3.5969019995278355)]"
0.1,0.997,100,500,0.4,3.481968791282598,"[np.float64(3.5167895582488424), np.float64(3.4471480243163533)]"
0.5,0.995,100,100,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
1.5,0.993,20,500,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.5,0.995,50,100,0.6,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
0.1,0.997,100,100,0.2,3.007041036670323,"[np.float64(2.8788963907319434), np.float64(3.135185682608703)]"
1.5,0.997,50,500,0.2,3.5740317331671,"[np.float64(3.551161466806365), np.float64(3.5969019995278355)]"
