algorithm,seed,cost,feasible,distance_km,travel_time_h,charging_time_h,energy_kwh,charging_cost_usd,battery_violation_kwh,infeasible_visits,runtime_s
Greedy,0,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0005
Greedy,1,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,2,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,3,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,4,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,5,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,6,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,7,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,8,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,9,3.603747,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Simulated Annealing,0,2.553215,True,275.3532,7.9863,0.2380,78.5603,9.0069,0.000000,0,7.4057
Simulated Annealing,1,2.488641,True,265.9569,7.7732,0.6474,76.0074,8.7964,0.000000,0,7.3013
Simulated Annealing,2,2.586216,True,275.4221,7.9406,0.2887,79.7459,9.4120,0.000000,0,7.2093
Simulated Annealing,3,2.493914,True,261.5482,7.5412,0.2428,77.2601,9.2439,0.000000,0,7.1757
Simulated Annealing,4,2.655508,True,285.3327,8.2220,0.2615,81.8820,9.3663,0.000000,0,7.3785
Simulated Annealing,5,2.569497,True,275.5917,8.0021,0.2957,78.3256,10.2966,0.000000,0,7.2294
Simulated Annealing,6,2.562591,True,276.8205,8.0211,0.3066,78.8162,8.8585,0.000000,0,7.3730
Simulated Annealing,7,2.566746,True,274.0337,8.0307,0.3694,78.0109,10.4583,0.000000,0,7.4817
Simulated Annealing,8,2.450662,True,262.1994,7.7054,0.4259,74.5300,9.5683,0.000000,0,7.4485
Simulated Annealing,9,2.516372,True,272.0758,7.9774,0.4713,76.4690,9.4190,0.000000,0,7.4579
Genetic Algorithm,0,3.052299,True,305.1818,8.5582,0.5595,92.5282,16.8462,0.000000,0,55.2881
Genetic Algorithm,1,2.810530,True,265.6201,7.5387,0.5295,84.5492,18.6811,0.000000,0,45.1193
Genetic Algorithm,2,2.698632,True,275.6193,7.9424,0.6072,82.3713,12.2214,0.000000,0,34.2638
Genetic Algorithm,3,2.813475,True,280.9417,8.0516,1.1755,83.9451,15.4879,0.000000,0,38.3787
Genetic Algorithm,4,2.928152,True,293.1505,8.3313,0.6662,87.6770,17.1811,0.000000,0,124.5828
Genetic Algorithm,5,2.867241,True,297.0300,8.5596,0.3030,87.5885,13.1177,0.000000,0,35.0412
Genetic Algorithm,6,3.158409,True,304.5910,8.4242,0.7646,95.6323,19.1890,0.000000,0,67.5998
Genetic Algorithm,7,2.722335,True,282.6890,8.1003,0.4889,84.2244,10.2538,0.000000,0,39.4741
Genetic Algorithm,8,2.908941,True,279.3043,7.8522,0.6007,86.4047,20.4489,0.000000,0,59.8837
Genetic Algorithm,9,2.892851,True,299.7884,8.6043,0.6346,88.0933,12.8725,0.000000,0,44.7023
Memetic Algorithm,0,2.691097,True,284.3295,8.2901,0.5424,79.9174,14.1050,0.000000,0,12.8586
Memetic Algorithm,1,2.789510,True,288.5090,8.3168,0.4017,84.5915,13.5287,0.000000,0,12.3133
Memetic Algorithm,2,2.669507,True,281.6939,8.1904,0.3759,80.3811,12.7943,0.000000,0,9.9179
Memetic Algorithm,3,2.711663,True,284.7204,8.2230,0.2559,80.9002,14.8941,0.000000,0,10.8870
Memetic Algorithm,4,2.756146,True,284.3819,8.2762,0.9280,83.2308,12.4008,0.000000,0,10.9064
Memetic Algorithm,5,2.715338,True,274.7975,7.8311,0.2463,83.3697,13.1336,0.000000,0,10.1551
Memetic Algorithm,6,2.783820,True,290.6275,8.4078,0.4721,85.1973,11.5689,0.000000,0,9.9255
Memetic Algorithm,7,2.626165,True,274.5443,7.9061,0.3535,80.8569,10.4297,0.000000,0,9.1113
Memetic Algorithm,8,2.813607,True,284.7215,8.1752,0.6388,85.7176,13.4842,0.000000,0,13.1191
Memetic Algorithm,9,2.759684,True,286.2531,8.3188,0.3266,81.2292,17.1489,0.000000,0,9.4199
ACO,0,2.777558,True,272.0644,7.6369,0.5185,86.6016,12.3747,0.000000,0,52.9292
ACO,1,2.793796,True,273.8185,7.6846,0.5206,87.0991,12.4413,0.000000,0,52.8124
ACO,2,2.802059,True,275.7428,7.7695,0.5212,87.2098,12.4556,0.000000,0,52.8993
ACO,3,2.786835,True,275.9540,7.7681,0.5216,86.6015,12.3421,0.000000,0,52.8818
ACO,4,2.710445,True,276.8101,7.8457,0.5328,83.9218,10.9508,0.000000,0,52.6377
ACO,5,2.772873,True,271.7617,7.6268,0.5180,86.4437,12.3508,0.000000,0,52.3855
ACO,6,2.772309,True,272.3007,7.6446,0.5179,86.3688,12.3383,0.000000,0,53.1355
ACO,7,2.802462,True,274.7599,7.7000,0.5212,87.3769,12.4856,0.000000,0,52.5732
ACO,8,2.776743,True,271.7043,7.6149,0.5196,86.6248,12.3665,0.000000,0,53.5595
ACO,9,2.800710,True,275.5508,7.7423,0.5324,87.1579,12.5020,0.000000,0,52.9701
