algorithm,seed,cost,feasible,distance_km,travel_time_h,charging_time_h,energy_kwh,charging_cost_usd,battery_violation_kwh,infeasible_visits,runtime_s
Greedy,0,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0005
Greedy,1,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,2,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,3,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,4,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,5,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,6,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,7,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,8,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,9,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,10,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,11,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,12,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,13,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,14,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,15,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,16,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,17,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,18,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Greedy,19,3.635897,True,309.2176,8.4171,1.1483,111.2714,24.0967,0.000000,0,0.0004
Simulated Annealing,0,2.823789,True,261.7018,7.2823,0.3020,85.7182,14.1939,0.000000,0,7.9472
Simulated Annealing,1,2.879958,True,266.9736,7.5342,0.3423,86.7939,11.9741,0.000000,0,7.9531
Simulated Annealing,2,2.959583,True,275.0881,7.8117,0.3179,84.5452,12.6352,0.000000,0,7.9203
Simulated Annealing,3,2.911867,True,262.7269,7.3017,0.3321,86.8189,19.0715,0.000000,0,7.9839
Simulated Annealing,4,2.771576,True,263.0066,7.3736,0.3189,84.2448,8.7616,0.000000,0,7.9283
Simulated Annealing,5,2.877352,True,271.3352,7.5660,0.2094,85.2698,13.6658,0.000000,0,8.0505
Simulated Annealing,6,2.725679,True,253.3493,7.1015,0.3076,83.4260,11.8363,0.000000,0,7.9187
Simulated Annealing,7,2.764260,True,250.6886,7.0257,0.3397,85.7004,15.0466,0.000000,0,7.9268
Simulated Annealing,8,2.935225,True,269.7347,7.5933,0.3183,86.3215,15.0484,0.000000,0,7.9963
Simulated Annealing,9,2.773575,True,263.2342,7.4235,0.3082,81.2655,8.8238,0.000000,0,7.9280
Simulated Annealing,10,2.796518,True,258.1614,7.2529,0.2600,84.8988,14.1044,0.000000,0,7.9495
